FID,FACILITY,SADDR,SCITY,SSTATE,SZIP,FCOUNTY,FPHONE,STYPE,LICNO,LICENSEE,CAPACITY,EXPIRES
"120606","C & C Outreach Services, LLC","916 Hope Mills Road","Fayetteville","NC","28304","Cumberland","(910)826-3506","MHL","MHL-026-905","C & C Outreach Services, LLC",0,12/31/2018
"920477","C.R.E.S.T. Group Home #1","1533 Mintz Drive","Fayetteville","NC","28303","Cumberland","(910)822-8758","MHL","MHL-026-639","Cumberland Residential & Employment Services & Training",5,12/31/2018
"920478","C.R.E.S.T. Group Home #2","323 Sinclair Street","Fayetteville","NC","28311","Cumberland","(910)488-1007","MHL","MHL-026-640","Cumberland Residential & Employment Services & Training",5,12/31/2018
"920479","C.R.E.S.T. Group Home #3","635 Dashland Drive","Fayetteville","NC","28303","Cumberland","(910)868-6208","MHL","MHL-026-641","Cumberland Residential & Employment Services & Training",5,12/31/2018
"940288","C.R.E.S.T. Group Home #4","224 Randolph Avenue","Fayetteville","NC","28311","Cumberland","(910)822-5551","MHL","MHL-026-642","Cumberland Residential & Employment Services & Training",6,12/31/2018
"920287","C.R.E.S.T. Group Home #5","250 Prince Charles Drive","Fayetteville","NC","28311","Cumberland","(910)630-2331","MHL","MHL-026-643","Cumberland Residential & Employment Services & Training",6,12/31/2018
"110793","C.R.E.S.T., Inc.","245-A Tillinghast Street","Fayetteville","NC","28301","Cumberland","(910)487-3131","MHL","MHL-026-171","The C.R.E.S.T. Program",0,12/31/2018
"920173","Carol's DDA Group Home","334 Moore Street","Fayetteville","NC","28301","Cumberland","(910)323-2575","MHL","MHL-026-658","Carolyn Parker",6,12/31/2018
"080793","Carolina Outreach I","907 Hay Street, Suite 203","Fayetteville","NC","28305","Cumberland","(910)438-0939","MHL","MHL-026-945","Carolina Outreach, LLC",0,12/31/2018
"101252","Carolina Outreach II","911 Hay Street","Fayetteville","NC","28305","Cumberland","(910)438-0939","MHL","MHL-026-946","Carolina Outreach, LLC",0,12/31/2018
"110603","Carolina Treatment Center of Fayetteville","3427 Melrose Road","Fayetteville","NC","28304","Cumberland","(910)864-8739","MHL","MHL-026-617","ATS of North Carolina, LLC",0,12/31/2018
"980611","Chestnut Hills Group Home","709 Edgehill Road","Fayetteville","NC","28314","Cumberland","(910)864-1752","MHL","MHL-026-462","The Autism Society of North Carolina, Inc.",5,12/31/2018
"130092","College Lakes","5104 Flatrock Drive","Fayetteville","NC","28311","Cumberland","(910)488-6323","MHL","MHL-026-964","ShineLight, Inc.",4,12/31/2018
"160016","Community Alternative Housing, Inc.","1410 Seabiscuit Drive","Parkton","NC","28371","Cumberland","(910)425-6721","MHL","MHL-026-960","Community Alternative Housing, Inc.",1,12/31/2018
"100345","Community Based Developmental Services","3274 Rosehill Road","Fayetteville","NC","28301","Cumberland","(910)488-5820","MHL","MHL-026-900","Community Based Developmental Services, Inc.",0,12/31/2018
"140017","Cumberland County Communicare, Inc.","109 Bradford Avenue, Rooms 155 & 107","Fayetteville","NC","28301","Cumberland","(910)829-9017","MHL","MHL-026-821","Cumberland County Communicare, Inc.",0,12/31/2018
"110085","Elite Care Service Inc. SAIOP Program","111 Lamon Street, Suite 110","Fayetteville","NC","28301","Cumberland","(910)483-0324","MHL","MHL-026-897","Elite Care Service, Inc.",0,12/31/2018
"110085","Elite Care Service Inc. SAIOP Program","111 Lamon Street, Suite 110","Fayetteville","NC","28301","Cumberland","(910)483-0324","MHL","MHL-026-897","Elite Care Service, Inc.",0,12/31/2018
"070812","Elite Care Service at Middle Rd.","711 Middle Road","Fayetteville","NC","28312","Cumberland","(910)483-0324","MHL","MHL-026-857","Elite Care Service, Inc.",6,12/31/2018
"944892","Extra Special Care","6214 Kilmory Drive","Fayetteville","NC","28304","Cumberland","(910)491-2383","MHL","MHL-026-947","Carter Clinic, P.A.",6,12/31/2018
"030261","Fayetteville Treatment Center","418 Person Street   Suite 103","Fayetteville","NC","28301","Cumberland","(910)483-0958","MHL","MHL-026-760","Metro Treatment of NC, LP d/b/a Fayetteville Trtmt Ctr",0,12/31/2018
"060099","Fresh Start Residential Facility, Inc.","7866 Adrian Drive","Fayetteville","NC","28314","Cumberland","(910)867-3591","MHL","MHL-026-822","Fresh Start Residential Facility, Inc.",6,12/31/2018
"010598","Fresh Start Residential Facility, Inc. #3","2639 Dumbarton Road","Fayetteville","NC","28306","Cumberland","(910)426-0785","MHL","MHL-026-889","Frest Start Residential Facility, Inc.",4,12/31/2018
"000326","Graceland Manor DDA  #3","408 Pelt Drive","Fayetteville","NC","28301","Cumberland","(910)630-1755","MHL","MHL-026-655","Elva Colvin",6,12/31/2018
"930448","Graceland Manor DDA #1","600 Dowfield Drive","Fayetteville","NC","28301","Cumberland","(910)630-1741","MHL","MHL-026-654","Elva Colvin",6,12/31/2018
"070351","Great Expectations Day Facility and Enrichment Program","1329 Robeson Street","Fayetteville","NC","28305","Cumberland","(910)488-3107","MHL","MHL-026-834","Monica Strange",0,12/31/2018
"100177","Harlee Mac Group Home III","2226 Memory Street","Fayetteville","NC","28304","Cumberland","(910)488-8820","MHL","MHL-026-956","Mac Bill Inc.",6,12/31/2018
"080103","Harlee Mac Group Home IV","5740 Longview Drive","Fayetteville","NC","28306","Cumberland","(910)723-1963","MHL","MHL-026-955","Mac Bill Inc.",6,12/31/2018
"990752","Hearts of Hope Home Place","1808 Conover Drive","Fayetteville","NC","28304","Cumberland","(910)426-7992","MHL","MHL-026-933","PTP-Lisbon, Inc.",6,12/31/2018
"944300","Holliday's Place Group Home","1108 Quail-Meadow Drive","Fayetteville","NC","28314","Cumberland","(910)864-4300","MHL","MHL-026-851","D & L Health Care Services, Incorporated",6,12/31/2018
"944881","Hope Mills Home","5713 Newton Street","Hope Mills","NC","28348","Cumberland","(910)424-2121","MHL","MHL-026-020","RHA Health Services NC, LLC",6,12/31/2018
"020903","Johari Residential","2305 Cleveland Avenue","Fayetteville","NC","28301","Cumberland","(910)229-3734","MHL","MHL-026-961","Johari Family Services, LLC",4,12/31/2018
"980489","Joyful Living #1","1951 Ireland Drive","Fayetteville","NC","28304","Cumberland","(910)864-8000","MHL","MHL-026-855","Willa Dean McNeill",6,12/31/2018
"010402","Joyful Living #2","6125 Louise Street","Fayetteville","NC","28314","Cumberland","(910)822-1000","MHL","MHL-026-856","Willa Dean McNeill",6,12/31/2018
"090467","KV Consultants & Associates, Inc.","2411 Robeson Street, Suite 100","Fayetteville","NC","28305","Cumberland","(910)223-7114","MHL","MHL-026-787","KV Consultants & Associates Inc.",0,12/31/2018
"090467","KV Consultants & Associates, Inc.","2411 Robeson Street, Suite 100","Fayetteville","NC","28305","Cumberland","(910)223-7114","MHL","MHL-026-787","KV Consultants & Associates Inc.",0,12/31/2018
"100165","Kaleo Firethorn Drive","7618 Firethorn Drive","Fayetteville","NC","28311","Cumberland","(910)630-5152","MHL","MHL-026-896","Kaleo Supports, Inc.",1,12/31/2018
"010655","LUV-N-ARMS","6777 Candlewood Drive","Fayetteville","NC","28314","Cumberland","(910)868-2061","MHL","MHL-026-689","S&T We Care",4,12/31/2018
"060758","Loyd Auman Elementary School","6882 Raeford Road","Fayetteville","NC","28304","Cumberland","(910)868-8153","MHL","MHL-026-244","Autism Society of Cumberland County",0,12/31/2018
"960117","Mahogany","6852 Mahogany Road","Fayetteville","NC","28314","Cumberland","(910)867-5644","MHL","MHL-026-876","United Residential Services of North Carolina, Inc.",3,12/31/2018
"920748","McDuffie DDA Group Home","1826 Wendover Drive","Fayetteville","NC","28304","Cumberland","(910)339-9458","MHL","MHL-026-659","Barbara Brown / McDuffie Group Home",3,12/31/2018
"040197","Mother's Love Group Home","2926 Peacock Street","Hope Mills","NC","28348","Cumberland","(910)425-4148","MHL","MHL-026-830","Ella Mae Alford",4,12/31/2018
"944879","My Place","1050 Hogan Street","Fayetteville","NC","28301","Cumberland","(910)488-2459","MHL","MHL-026-943","Midstate Health Systems, Inc.",6,12/31/2018
"944871","Myrover-Reese Fellowship Home","613 Quality Road","Fayetteville","NC","28306","Cumberland","(910)491-7713","MHL","MHL-026-005","Myrover-Reese Fellowship Homes, Inc.",11,12/31/2018
"060949","New Horizons Group Home","3319 Auburn Drive","Fayetteville","NC","28306","Cumberland","(910)425-5725","MHL","MHL-026-835","Donna Black",6,12/31/2018
"944895","No Place Like Home","4309 NC Hwy 87 South","Fayetteville","NC","28306","Cumberland","(910)483-4043","MHL","MHL-026-054","Mid State Health Services, Inc.",5,12/31/2018
"932314","Northside Group Home","3301 Barksdale Road","Fayetteville","NC","28301","Cumberland","(910)822-4455","MHL","MHL-026-125","Sophia B. Pierce & Associates, Inc.",6,12/31/2018
"922726","Pat Reese Fellowship Home","560-A Wilkes Road","Fayetteville","NC","28306","Cumberland","(910)486-8718","MHL","MHL-026-086","Myrover-Reese Fellowship Homes, Inc.",18,12/31/2018
"030053","Patterson Home Care, Inc.","6331 Rannock Drive","Fayetteville","NC","28314","Cumberland","(910)527-8427","MHL","MHL-026-766","Patterson Home Care, Inc.",6,12/31/2018
"020231","Pearl's Angel Care, Inc.","1423 Grandview Drive","Fayetteville","NC","28314","Cumberland","(910)257-6060","MHL","MHL-026-709","Pearl's Angel Care, Inc.",4,12/31/2018
"040856","Pierce's Vocational Center","2503 Gary Street","Fayetteville","NC","28301","Cumberland","(910)823-2385","MHL","MHL-026-828","Sophia B. Pierce & Associates, Inc.",0,12/31/2018
"000399","Precious Haven #2","6033 Concho Court","Fayetteville","NC","28303","Cumberland","(910)867-8111","MHL","MHL-026-924","Precious Haven, Inc.",4,12/31/2018
"010701","Precious Haven #3 Comet","975 Comet Circle","Fayetteville","NC","28314","Cumberland","(910)676-8979","MHL","MHL-026-959","Precious Haven, Inc.",4,12/31/2018
"011095","Precious Haven, Inc.","532 Wayland Drive","Fayetteville","NC","28314","Cumberland","(910)920-2912","MHL","MHL-026-673","Melissa McAllister",4,12/31/2018
"020190","Professional Family Care Home #2","1016 Patrick Drive","Fayetteville","NC","28314","Cumberland","(910)487-9868","MHL","MHL-026-926","Professional Family Care Services, Inc.",3,12/31/2018
"130495","Professional Family Care Services-Psychosocial Rehab","4441 Bragg Blvd","Fayetteville","NC","28303","Cumberland","(910)630-2273","MHL","MHL-026-894","Professional Family Care Services, Inc.",0,12/31/2018
"080565","Rainbow of Sunshine 2","307 Cedarwood Street","Spring Lake","NC","28390","Cumberland","(910)496-0756","MHL","MHL-026-812","Rainbow of Sunshine, Inc.",5,12/31/2018
"956897","Rainbow of Sunshine I","4661 Pennystone Drive","Fayetteville","NC","28306","Cumberland","(910)527-3083","MHL","MHL-026-813","Rainbow of Sunshine, Inc.",3,12/31/2018
"160022","Renew Counseling Center","2212 Hope Mills Road","Fayetteville","NC","28304","Cumberland","(910)779-0454","MHL","MHL-026-954","Renew Counseling Center of NC, LLC",0,12/31/2018
"160022","Renew Counseling Center","2212 Hope Mills Road","Fayetteville","NC","28304","Cumberland","(910)779-0454","MHL","MHL-026-954","Renew Counseling Center of NC, LLC",0,12/31/2018
"922513","Roxie Avenue Center","1724 Roxie Avenue","Fayetteville","NC","28304","Cumberland","(910)484-1212","MHL","MHL-026-914","Cumberland Co Hsp Sys Inc. dba Cape Fear Valley Hlh Sys",16,12/31/2018
"922513","Roxie Avenue Center","1724 Roxie Avenue","Fayetteville","NC","28304","Cumberland","(910)484-1212","MHL","MHL-026-914","Cumberland Co Hsp Sys Inc. dba Cape Fear Valley Hlh Sys",16,12/31/2018
"011167","S&S Spoonridge Group Home","723 Glen Reilly Road","Fayetteville","NC","28314","Cumberland","(910)860-5481","MHL","MHL-026-809","The Janice Mae Hawkins Foundation, Inc.",6,12/31/2018
"041132","Segura Home","6291 Bethany Drive","Stedman","NC","28391","Cumberland","(910)323-3566","MHL","MHL-026-803","Tammy Segura",3,12/31/2018
"130249","Serenity Therapeutic Services #2","1446 Sand Hill Road","Hope Mills","NC","28348","Cumberland","(910)263-8773","MHL","MHL-026-890","Serenity Therapeutic Services, LLC",6,12/31/2018
"150091","Serenity Therapeutic Services #3","2299 Dockwood Court","Fayetteville","NC","28306","Cumberland","(910)568-4507","MHL","MHL-026-892","Serenity Therapeutic Services, LLC",2,12/31/2018
"170016","Serenity Therapeutic Services #9","4739 South Main Street","Hope Mills","NC","28348","Cumberland","(910)987-1438","MHL","MHL-026-963","Serenity Therapeutic Services, LLC",4,12/31/2018
"944876","Service Source","600 Ames Street","Fayetteville","NC","28301","Cumberland","(910)826-4699","MHL","MHL-026-013","Employment Source, Inc.",0,12/31/2018
"970911","Sharper Images","1700 Bridger Street","Fayetteville","NC","28301","Cumberland","(910)484-1684","MHL","MHL-026-723","Lucy Sharp",6,12/31/2018
"944882","Southern Avenue Home","2001 Southern Avenue","Fayetteville","NC","28301","Cumberland","(910)424-2121","MHL","MHL-026-021","RHA Health Services NC, LLC",6,12/31/2018
"921135","Spigner DDA Group Home","205 Scott Avenue","Fayetteville","NC","28301","Cumberland","(910)486-5137","MHL","MHL-026-653","Spigner Management Systems, Inc.",6,12/31/2018
"970749","Stanberry Place","1909 Stanberry Street","Fayetteville","NC","28301","Cumberland","(910)488-7436","MHL","MHL-026-299","Sophia B. Pierce & Associates, Inc.",3,12/31/2018
"944894","Strickland Bridge Homes A & B","1818 Strickland Bridge Rd.","Fayetteville","NC","28304","Cumberland","(910)424-2121","MHL","MHL-026-053","RHA Health Services NC, LLC",12,12/31/2018
"041326","Summerhill","6350 Hawfield Drive","Fayetteville","NC","28303","Cumberland","(910)867-8995","MHL","MHL-026-814","ShineLight, Inc.",4,12/31/2018
"922170","Sunflower Enrichment Center","1014 Hay Street","Fayetteville","NC","28301","Cumberland","(910)920-2891","MHL","MHL-026-837","Carolina Residential Services, Inc.",0,12/31/2018
"030773","Sunlight Behavior Center","2030 Hoke Loop Road","Fayetteville","NC","28314","Cumberland","(910)864-2443","MHL","MHL-026-777","Sunlight Behavior Center, Inc.",4,12/31/2018
"010077","Sunny Acres Group Home","611 Country Club Drive","Fayetteville","NC","28301","Cumberland","(910)630-6818","MHL","MHL-026-619","Sophia B. Pierce & Associates, Inc.",6,12/31/2018
"110943","Sunrise Residential Care","5227 Old Railroad Way","Hope Mills","NC","28348","Cumberland","(910)823-7424","MHL","MHL-026-939","Sunrise Residential Care, LLC",6,12/31/2018
"922749","The Carter Clinic Residential Home","235 Kinlaw Street","Fayetteville","NC","28301","Cumberland","(910)488-2049","MHL","MHL-026-948","Carter Clinic, P.A.",6,12/31/2018
"971215","The DWI Center","916 Hay Street","Fayetteville","NC","28302","Cumberland","(910)485-1703","MHL","MHL-026-887","Behavior Counseling & Psychological Services, PA",0,12/31/2018
"971215","The DWI Center","916 Hay Street","Fayetteville","NC","28302","Cumberland","(910)485-1703","MHL","MHL-026-887","Behavior Counseling & Psychological Services, PA",0,12/31/2018
"922719","The Learning Center","3721 Legion Road","Hope Mill","NC","28348","Cumberland","(910)484-3717","MHL","MHL-026-057","Mid State Health Systems, Inc.",0,12/31/2018
"030985","The Loving Home","4944 Macedonia Church Road","Fayetteville","NC","28312","Cumberland","(910)485-4742","MHL","MHL-026-761","The Loving Home, Inc.",3,12/31/2018
"061352","The Loving Home #2","2162 Dobbin Holmes Road","Fayetteville","NC","28312","Cumberland","(910)483-2528","MHL","MHL-026-826","The Loving Home, Inc.",3,12/31/2018
"001234","The Loving Home #3","3608 Thorndike Drive","Fayetteville","NC","28311","Cumberland","(910)488-4089","MHL","MHL-026-882","The Loving Home, Inc.",3,12/31/2018
"120013","The Loving Home #4","1710 Scampton Road","Fayetteville","NC","28303","Cumberland","(910)488-5468","MHL","MHL-026-884","The Loving Home, Incorporated",4,12/31/2018
"020114","The Loving Home #5","3581 Torbay Drive","Fayetteville","NC","28311","Cumberland","(910)488-4242","MHL","MHL-026-883","The Loving Home, Inc.",2,12/31/2018
"955667","The Loving Home #6","1903 Bridger Street","Fayetteville","NC","28303","Cumberland","(910)884-3896","MHL","MHL-026-951","The Loving Home, Inc.",6,12/31/2018
"922748","Thomas S. Decatur Home","7559 Decatur Drive","Fayetteville","NC","28303-1989","Cumberland","(910)867-7675","MHL","MHL-026-944","Midstate Health Systems, Inc.",6,12/31/2018
"160364","Thrive Addictions Services","1611-B Owen Drive","Fayetteville","NC","28304","Cumberland","(910)483-8500","MHL","MHL-026-962","Michael R. Trout",0,12/31/2018
"011142","United Residential Services of North Carolina  #2","6503 Kemper Court","Fayetteville","NC","28303","Cumberland","(910)717-6017","MHL","MHL-026-694","United Residential Services of N. C. Inc.",4,12/31/2018
"041144","Unity Home Care II","1419 Milton Street","Spring Lake","NC","28390","Cumberland","(910)864-1799","MHL","MHL-026-912","Unity Home Care, Inc.",4,12/31/2018
"100977","Unity Home Care Residential Facility","5975 Spinner Road","Hope Mills","NC","28348","Cumberland","(910)426-8419","MHL","MHL-026-913","Unity Home Care, Inc.",4,12/31/2018
"120210","Upward Process","568 Alleghany Road","Fayetteville","NC","28304","Cumberland","(910)424-3386","MHL","MHL-026-935","Upward Process, Inc.",4,12/31/2018
"944891","Wilmington Road Group Home","800 Wilmington Road","Fayetteville","NC","28304","Cumberland","(910)424-2121","MHL","MHL-026-048","RHA Health Services NC, LLC",6,12/31/2018
"944887","Wingate Road Day Program","2248 Wingate Road","Fayetteville","NC","28304","Cumberland","(910)424-2121","MHL","MHL-026-038","RHA Health Service NC, LLC",0,12/31/2018
"944915","Currituck Home","139 Barnard Road","Grandy","NC","27939","Currituck","(252)453-4857","MHL","MHL-027-007","Life, Inc.",6,12/31/2018
"170592","Lighthouse Club - Currituck","6328 Caratoke Highway","Grandy","NC","27939","Currituck","(252)491-2076","MHL","MHL-027-009","Monarch",0,12/31/2018
"120655","Two Dreams-Outer Banks, LLC","510 E- Hunt Club Drive","Corolla","NC","27927","Currituck","(252)597-1723","MHL","MHL-027-012","Treatment Partners, LLC",0,12/31/2018
"140384","Beach Club of Dare","205 Highway 64/264","Manteo","NC","27954","Dare","(252)473-1364","MHL","MHL-028-015","Monarch",0,12/31/2018
"170202","Changing Tides","3512 N. Virginia Dare Trail","Kitty Hawk","NC","27949","Dare","(252)715-3905","MHL","MHL-028-019","Coastal Recovery Solutions, Inc.",0,12/31/2018
"110956","PORT Health Services-New Horizons-Nags Head","2808 South Croatan Highway, Suite B","Nags Head","NC","27959","Dare","(252)441-2324","MHL","MHL-028-018","PORT Health Services",0,12/31/2018
"922477","Roanoke Trail Facility","185 Roanoke Trail","Manteo","NC","27954","Dare","(252)473-2137","MHL","MHL-028-013","Life, Inc.",6,12/31/2018
"100912","AFL - Garrison","5193 NC Highway 47","Lexington","NC","27292","Davidson","(336)746-4939","MHL","MHL-029-121","Omni Visions, Inc.",2,12/31/2018
"170106","Ambleside Adult Day Program","670-E Radio Drive","Lexington","NC","27292","Davidson","(336)224-2923","MHL","MHL-029-122","Ambleside, Inc.",0,12/31/2018
"970775","Arlington House","216 Agner Lane","Lexington","NC","27292","Davidson","(336)224-2923","MHL","MHL-029-062","Ambleside, Inc.",3,12/31/2018
"140185","C. F. Marketing","1208 Fairview Drive","Lexington","NC","27292","Davidson","(336)236-2056","MHL","MHL-029-129","C.F. Marketing, LLC",0,12/31/2018
"090902","Community Living Services of Lexington","37 Pickard Circle","Lexington","NC","27292","Davidson","(336)224-2626","MHL","MHL-029-099","Therapeutic Alternatives, Inc.",0,12/31/2018
"941829","Davidson #1","108 Fairview Drive","Lexington","NC","27292","Davidson","(336)249-2533","MHL","MHL-029-026","The ARC of Davidson County, Inc.",5,12/31/2018
"942563","Davidson #2","434 Shannon Drive","Lexington","NC","27292","Davidson","(336)357-5153","MHL","MHL-029-027","The ARC of Davidson County, Inc.",6,12/31/2018
"942136","Davidson #3","700 Hunters Way","Lexington","NC","27292","Davidson","(336)249-0037","MHL","MHL-029-028","The ARC of Davidson County, Inc.",6,12/31/2018
"942135","Davidson #4","125 Delta Street","Lexington","NC","27292","Davidson","(336)248-2518","MHL","MHL-029-029","The ARC of Davidson County, Inc.",6,12/31/2018
"160471","Davidson Crisis Center","1104 B S. Main Street","Lexington","NC","27292","Davidson","(704)647-9494","MHL","MHL-029-134","Daymark Recovery Services, Inc.",16,12/31/2018
"150171","Daymark Davidson Day Treatment at Pickett Elementary","200 Biesecker Road, Classroom #20","Lexington","NC","27295","Davidson","(336)242-1546","MHL","MHL-029-124","Daymark Recovery Services, Inc.",0,12/31/2018
"160302","Daymark Recovery Services-Davidson Center","1104-A South Main Street","Lexington","NC","27292","Davidson","(336)242-2450","MHL","MHL-029-032","Daymark Recovery Services, Inc.",0,12/31/2018
"160302","Daymark Recovery Services-Davidson Center","1104-A South Main Street","Lexington","NC","27292","Davidson","(336)242-2450","MHL","MHL-029-032","Daymark Recovery Services, Inc.",0,12/31/2018
"956262","Dream  Makers Assisted Living Services LLC","168 Roy Lopp Road","Lexington","NC","27292","Davidson","(336)300-0370","MHL","MHL-029-103","Dream Makers Assisted Living Services, LLC",3,12/31/2018
"100421","LMS Day Treatment","100 West Hemstead Street","Lexington","NC","27292","Davidson","(336)242-1567","MHL","MHL-029-127","Daymark Recovery Services, Inc.",0,12/31/2018
"080023","Lanier","1997 Conrad Hill Mine Road","Lexington","NC","27292","Davidson","(336)746-7325","MHL","MHL-029-110","UMAR Services, Inc.",6,12/31/2018
"150120","Lexington IOP (Nazareth Children's Home)","16  East Center Street","Lexington","NC","27292","Davidson","(336)300-7614","MHL","MHL-029-133","Nazareth Children's Home, Inc.",0,12/31/2018
"080460","Lexington Treatment Associates","310 Murphy Drive","Lexington","NC","27295","Davidson","(336)224-1919","MHL","MHL-029-136","Maric Healthcare, LLC",0,12/31/2018
"120647","Marajo Place","166 Marajo Court","Winston-Salem","NC","27127","Davidson","(336)764-2045","MHL","MHL-029-126","Alberta Professional Services, Inc.",3,12/31/2018
"150016","Mayfair","8 Mayfair Road","Lexington","NC","27292","Davidson","(336)224-2923","MHL","MHL-029-054","Ambleside, Inc.",3,12/31/2018
"090806","McDaniel AFL","286 Charity Lane","Linwood","NC","27299","Davidson","(336)853-6241","MHL","MHL-029-116","Omni Visions, Inc.",2,12/31/2018
"040196","Passageway Psychosocial Rehabilitation Program","220 East First Ave. Ext. Rms 100-123","Lexington","NC","27292","Davidson","(336)242-2406","MHL","MHL-029-119","RHA Health Services, Inc.",0,12/31/2018
"941736","Path of Hope","1675 East Center Street Extension","Lexington","NC","27292","Davidson","(336)248-8914","MHL","MHL-029-006","Path of Hope, Inc.",12,12/31/2018
"941736","Path of Hope","1675 East Center Street Extension","Lexington","NC","27292","Davidson","(336)248-8914","MHL","MHL-029-006","Path of Hope, Inc.",12,12/31/2018
"941736","Path of Hope","1675 East Center Street Extension","Lexington","NC","27292","Davidson","(336)248-8914","MHL","MHL-029-006","Path of Hope, Inc.",12,12/31/2018
"941736","Path of Hope","1675 East Center Street Extension","Lexington","NC","27292","Davidson","(336)248-8914","MHL","MHL-029-006","Path of Hope, Inc.",12,12/31/2018
"090318","Path of Hope","1677 East Center Street Extension","Lexington","NC","27292","Davidson","(336)248-8914","MHL","MHL-029-114","Path of Hope, Inc.",11,12/31/2018
"941737","Path of Hope, Inc.","1675 East Center Street Ext.","Lexington","NC","27292","Davidson","(336)248-8914","MHL","MHL-029-007","Path of Hope, Inc.",6,12/31/2018
"170171","Ridgewood","107 Ridgewood Drive","Lexington","NC","27292","Davidson","(336)237-9747","MHL","MHL-029-125","Ambleside, Inc.",3,12/31/2018
"922547","Scotthurst I & II","174 Hoots Drive","Winston Salem","NC","27107","Davidson","(336)764-3553","MHL","MHL-029-009","RHA Health Services NC, LLC",12,12/31/2018
"160576","The Green Center of Growth and Development","634 National Highway","Thomasville","NC","27360","Davidson","(336)472-4459","MHL","MHL-029-048","Brenda M. Green M.S.",0,12/31/2018
"140026","The Workshop of Davidson","275 Monroe Road","Lexington","NC","27292","Davidson","(336)248-2816","MHL","MHL-029-128","The Workshop of Davidson, Inc.",0,12/31/2018
"140026","The Workshop of Davidson","275 Monroe Road","Lexington","NC","27292","Davidson","(336)248-2816","MHL","MHL-029-128","The Workshop of Davidson, Inc.",0,12/31/2018
"010891","The Workshop of Davidson-Group Home #1-Women","509 Shoaf Street","Lexington","NC","27292","Davidson","(336)248-2991","MHL","MHL-029-024","The Workshop of Davidson Group Homes, Inc.",6,12/31/2018
"921740","The Workshop of Davidson-Group Home II(Men)","226 West Ninth Street","Lexington","NC","27292","Davidson","(336)243-1656","MHL","MHL-029-025","The Workshop of Davidson Group Homes, Inc.",6,12/31/2018
"170151","Thomasville Treatment Associates","1301 National Highway","Thomasville","NC","27360","Davidson","(336)472-8230","MHL","MHL-029-135","Treatment Centers, LLC",0,12/31/2018
"921518","Boxwood Acres","3464 US Highway 601 South","Mocksville","NC","27028","Davie","(704)278-9681","MHL","MHL-030-006","RHA Health Services NC, LLC",6,12/31/2018
"920779","Milling Manor, Inc.","253 Milling Road","Mocksville","NC","27028","Davie","(336)751-3276","MHL","MHL-030-026","Milling Manor, Inc.",6,12/31/2018
"920293","Milling Manor, Inc.-Sanford House","785 Sanford Avenue","Mocksville","NC","27028","Davie","(336)751-3276","MHL","MHL-030-034","Milling Manor, Inc.",6,12/31/2018
"070764","New Horizons Enterprises","161 Funder Drive","Mocksville","NC","27028","Davie","(336)751-1805","MHL","MHL-030-014","Monarch",0,12/31/2018
"070764","New Horizons Enterprises","161 Funder Drive","Mocksville","NC","27028","Davie","(336)751-1805","MHL","MHL-030-014","Monarch",0,12/31/2018
"922407","Pleasant Acres","447 Pleasant Acres Drive","Mocksville","NC","27028","Davie","(704)278-9681","MHL","MHL-030-007","RHA Health Services NC, LLC",6,12/31/2018
"952779","Twinbrooks","189 Fairmont Lane","Mocksville","NC","27028","Davie","(704)278-9681","MHL","MHL-030-005","RHA Health Services NC, LLC",6,12/31/2018
"130344","Common Ground - Rose Hill","123 Main Street","Rose Hill","NC","28458","Duplin","(910)447-1400","MHL","MHL-031-072","New Dimension Group, LLC",0,12/31/2018
"920711","Magnolia Group Home","240 North Peterson Street","Magnolia","NC","28453","Duplin","(910)289-4270","MHL","MHL-031-038","Duplin Sampson Group Homes, Inc.",5,12/31/2018
"031187","Neuse Enterprises - Omega","125 Rockfish Plaza","Wallace","NC","28466","Duplin","(910)285-6531","MHL","MHL-031-001","Neuse Enterprises, Inc.",0,12/31/2018
"922863","New Dimension Group","416 West Ridge Street","Rose Hill","NC","28458","Duplin","(910)289-2610","MHL","MHL-031-071","New Dimension Group, LLC",0,12/31/2018
"922863","New Dimension Group","416 West Ridge Street","Rose Hill","NC","28458","Duplin","(910)289-2610","MHL","MHL-031-071","New Dimension Group, LLC",0,12/31/2018
"922863","New Dimension Group","416 West Ridge Street","Rose Hill","NC","28458","Duplin","(910)289-2610","MHL","MHL-031-071","New Dimension Group, LLC",0,12/31/2018
"922863","New Dimension Group","416 West Ridge Street","Rose Hill","NC","28458","Duplin","(910)289-2610","MHL","MHL-031-071","New Dimension Group, LLC",0,12/31/2018
"922523","SCI-Duplin House","120 Orville Street","Warsaw","NC","28398","Duplin","(910)293-3068","MHL","MHL-031-009","Skill Creations, Inc.",6,12/31/2018
"922588","Skill Creations of Kenansville","200 South Stokes Street","Kenansville","NC","28349","Duplin","(910)296-0078","MHL","MHL-031-004","Skill Creations, Inc.",15,12/31/2018
"990057","Southeast Day Program","101 East Bay Street","Warsaw","NC","28398","Duplin","(910)293-4722","MHL","MHL-031-023","Skill Creations, Inc.",0,12/31/2018
"960735","Ultimate Family Care - 5","299 Robert F. Hargrove Road","Mt. Olive","NC","28365","Duplin","(919)880-3144","MHL","MHL-031-074","Ultimate Family Care Home, Inc.",4,12/31/2018
