XFCOUNTY,XFACILITY,XCAP,LLICENSEE,XSADDR,XSCITY,XSSTATE,XSZIP,XFADDR1,XFADDR2,XFCITY,XFSTATE,XFZIP,XFPHONE,XFFAX,LLICENSNO,XFID,XSTATUS,STARS
"Buncombe","Woodland Terrace Family Care Home # 3",6,"Ricardo & Denise Duprey","8 Ella Lane","Alexander","NC","28701","P.O. Box 513","","Asheville","NC","28802","(828)490-0440","(828)505-3842","FCL-011-341","101257","Active",3
"Buncombe","Woodland Terrace Family Care Home # 4",6,"Ricardo & Denise Duprey","12 Ella Lane","Alexander","NC","28701","P.O. Box 513","","Asheville","NC","28802","(828)683-2856","(828)505-3842","FCL-011-342","101258","Active",2
"Buncombe","Woodland Terrace Family Care Home # 5",6,"Ricardo & Denise Duprey","18 Ella Lane","Alexander","NC","28701","P.O. Box 513","","Asheville","NC","28802","(828)243-0401","(828)505-3842","FCL-011-343","101259","Active",3
"Buncombe","Woodland Terrace Family Care Home #6",6,"Ricardo & Denise Duprey","11 Ella Lane","Alexander","NC","28701","P O Box 513","","Asheville","NC","28802","(828)407-3048","(828)505-3842","FCL-011-351","101260","Active",2
"Buncombe","Woodland Terrace Family Care Home #7",6,"Ricardo & Denise Duprey","19 Ella Lane","Alexander","NC","28701","P O Box 513","","Asheville","NC","28802","(828)458-5424","(828)683-2856","FCL-011-350","101261","Active",3
"Burke","Chesterfield Adult Care Home",6,"Chesterfield Adult Care Home, Inc.","2630 Pax Hill Road","Morganton","NC","28655","2658 Pax Hill Road","","Morganton","NC","28655","(828)437-5164","(828)438-1000","FCL-012-024","920205","Active",4
"Burke","Clara's Cottage # 1",6,"Clara's Cottages, Inc.","5820 Holland St","Morganton","NC","28655","5820 Holland St","","Morganton","NC","28655","(828)391-1929","(828)391-1929","FCL-012-042","920824","Active",2
"Burke","Clara's Cottage # 2",6,"Clara's Cottages, Inc.","5824 Holland Street","Morganton","NC","28655","5824 Holland Street","","Morganton","NC","28655","(828)448-5831","(828)391-1929","FCL-012-043","920825","Active",3
"Burke","Country Pines II",6,"Shirley Jean Carswell 'et al '","3041 Country Pine Street","Morganton","NC","28655","3041 Country Pine Street","","Morganton","NC","28655","(828)438-2886","(828)437-0429","FCL-012-017","960170","Active",4
"Burke","Days of Comfort Family Care Home",6,"Geneva C. Corpening","3421 Piney Road","Morganton","NC","28655","3421 Piney Road","","Morganton","NC","28655","(828)437-6116","(828)437-6116","FCL-012-004","940299","Active",3
"Burke","East View Family Care",6,"Jamie Rockett Kirby","3208 Tex's Fishcamp Road","Connelly Springs","NC","28612","3208 Tex's Fishcamp Road","","Connelly Springs","NC","28612","(828)397-6090","(828)597-9022","FCL-012-033","920342","Active",3
"Burke","Glen Alpine Family Care",6,"Dana Taylor","405 Linville Street","Glen Alpine","NC","28628","P.O. Box 1071","","Glen Alpine","NC","28628","(828)584-3970","(828)584-3970","FCL-012-027","920432","Active",4
"Burke","Hope Ridge Family Care",6,"Hope Ridge Family Care, LLC","3491 Crestwood Drive","Morganton","NC","28655","3491 Crestwood Drive","","Morganton","NC","28655","(828)544-5114","(828)544-5114","FCL-012-039","110910","Active",4
"Burke","McCurry Family Care Home",6,"Taylor Family Care Home, Inc","3351 Brandon Road","Morganton","NC","28655","3351 Brandon Road","","Morganton","NC","28655","(828)437-2108","(828)439-2509","FCL-012-032","080477","Active",4
"Burke","Peaceful Living",6,"Carolina Family Care Home, Inc","5816 Willow Point Drive","Morganton","NC","28655","302 Charles Avenue","","Morganton","NC","28655","(828)584-9762","(828)584-9742","FCL-012-035","100716","Active",3
"Burke","Perkins Family Care",6,"Harriette Puett","2015 Sunnyside Drive","Morganton","NC","28655","3261 Green Tree Acres","","Valdese","NC","28690","(828)764-4864","(828)764-4866","FCL-012-045","041486","Active",0
"Burke","Quaker Meadows Family Care Home",6,"Burke Rest Home Inc","125 Camellia Garden Street","Morganton","NC","28655","125 Camellia Garden Street","","Morganton","NC","28655","(828)433-5875","(828)433-7022","FCL-012-014","920975","Active",0
"Burke","Taylor Family Care Home",6,"Taylor Family Care Home, Inc","2572 Ridgeview Drive","Valdese","NC","28690","200 Newland Street","","Morganton","NC","28655","(828)437-2512","(828)439-8524","FCL-012-023","030536","Active",4
"Burke","The Patterson House Family Care Home",6,"Patterson House, LLC","3053 Country Pines St","Morganton","NC","28655","3053 Country Pine Street","","Morganton","NC","28655","(828)391-8299","(828)437-0429","FCL-012-044","920273","Active",3
"Burke","Walker Family Care Home",6,"Taylor Family Care Home, Inc","361 Settlemeyer Road","Morganton","NC","28655","200 Newland Street","","Morganton","NC","28655","(828)437-1964","(828)437-1965","FCL-012-028","070634","Active",3
"Cabarrus","Kannapolis Family Care Home",6,"Senior Care Carolinas, LLC","2216 Kannapolis Highway","Concord","NC","28027","9640 Gilead Grove Road","","Huntersville","NC","28078","(980)439-5500","(704)731-0961","FCL-013-046","050331","New",0
"Cabarrus","Suburban Guardianship",6,"Suburban Guardianship, LLC","1061 Union Street South","Concord","NC","28025","1061 Union Street South","","Concord","NC","28025","(704)918-4627","(704)918-4627","FCL-013-047","160289","New",0
"Cabarrus","The Carriage House of Caremoor",6,"Caremoor Retirement Center, Inc","4838 Caremoor Place","Kannapolis","NC","28081","4838 Caremoor Place","","Kannapolis","NC","28081","(704)938-2927","(704)933-7522","FCL-013-034","070413","Active",4
"Caldwell","TLC Family Care Home",6,"TLC Family Care Home, LLC","1221 Connelly Springs Road SW","Lenoir","NC","28645-6396","1221 Connelly Springs Road SW","","Lenoir","NC","28645-6396","(828)758-0013","(828)758-0013","FCL-014-016","080582","Active",4
"Camden","Needham Family Care Home",6,"Rodney M. Needham & Florine Needham","916 Sandy Hook Road","Shiloh","NC","27974","916 - A Sandy Hook Road","","Shiloh","NC","27974","(252)336-2717","(252)336-2325","FCL-015-001","944616","Active",3
"Carteret","Anchor Landing FCH",6,"Graham's Senior Living Homes Inc.","111 Graham Lane","Beaufort","NC","28516","111 Graham Lane","","Beaufort","NC","28516","(252)838-1574","(252)838-9203","FCL-016-021","160254","Active",0
"Carteret","Sea Coast FCH",6,"Graham's Senior Living Homes, Inc","107 Graham Lane","Beaufort","NC","28516","107 Graham Lane","","Beaufort","NC","28516","(252)838-9204","(252)838-9203","FCL-016-019","920286","Active",4
"Carteret","Shoreline FCH",6,"Graham's Senior Living Homes, Inc","105 Graham Lane","Beaufort","NC","28516","105 Graham Lane","","Beaufort","NC","28516","(252)838-9202","(252)838-9203","FCL-016-020","956150","Active",4
"Caswell","Abundant Living # 1",6,"Humphrey + One Inc","3814 Cherry Grove Road","Elon","NC","27244","1156 Horseshoe Trail","","Alton","VA","24520","(336)421-0301","(336)421-9503","FCL-017-055","920321","Active",3
"Caswell","Abundant Living # 2",6,"Humphrey + One Inc","3816 Cherry Grove Road","Elon","NC","27244","1156 Horseshoe Trail","","Alton","VA","24520","(336)421-3006","(336)421-9503","FCL-017-056","920315","Active",3
"Caswell","Beverly Rucker Family Care Home #7",6,"Beverly Rucker Family Care Home, Inc","6878 NC Highway 150","Reidsville","NC","27320","6878 NC Hwy 150","","Reidsville","NC","27320","(336)694-4497","(336)349-2873","FCL-017-036","920903","Active",4
"Caswell","Beverly Rucker Family Care Home #8",6,"Beverly Rucker Family Care Home, Inc","6878 NC Highway 150","Reidsville","NC","27320","6878 NC Highway 150","","Reidsville","NC","27320","(336)694-4497","(336)349-2873","FCL-017-037","920900","Active",3
"Caswell","Beverly Rucker Family Care Home #9",6,"Beverly Rucker Family Care Home, Inc","6878 NC Highway 150","Reidsville","NC","27320","6878 NC Hwy 150","","Reidsville","NC","27320","(336)694-4497","(336)349-2873","FCL-017-038","920902","Active",4
"Caswell","Carrie's Family Care Home",6,"Annie Long","1654 Allison Road","Ruffin","NC","27326","P. O. Box 1112","","Yanceyville","NC","27379","(336)694-9992","(336)694-1107","FCL-017-019","920180","Active",2
"Caswell","Corbett's Family Care Home",4,"Vicky Connally","362 Hudson Road","Milton","NC","27305","PO Box 47","","Milton","NC","27305","(336)234-7502","(336)234-0037","FCL-017-050","920258","Active",4
"Caswell","Corbett's Family Care Home #2",5,"Vicky Connally","382 Hudson Road","Milton","NC","27305","P.O. Box 47","","Milton","NC","27305","(336)234-8592","(336)234-0037","FCL-017-051","920257","Active",4
"Caswell","D & H Family Care Home",6,"Gladys Poteat","1111 Yarborough Mill Road","Milton","NC","27305","P O Box 22","","Milton","NC","27305","(336)234-7155","(336)234-7888","FCL-017-022","930289","Active",3
"Caswell","D & H Family Care Home #2",6,"Gladys Poteat","1143 Yarborough Mill Road","Milton","NC","27305","PO Box 22","","Milton","NC","27305","(336)234-7888","(336)234-0078","FCL-017-024","955395","Active",3
"Caswell","Humphrey Family Care",6,"Humphrey + One Inc","6245 Burton Chapel Road","Mebane","NC","27302","1156 Horseshoe Trail","","Alton","VA","24520","(336)421-3001","(336)421-3022","FCL-017-052","920099","Active",4
"Caswell","Jefferson Family Care Home #4",6,"Jefferson Care Homes Trust","495 Staley Boswell Road","Yanceyville","NC","27379","PO Box 4094","","Burlington","NC","27215","(336)421-0638","(336)584-5533","FCL-017-057","920598","Active",3
"Caswell","L & L Family Care",6,"Lucy N. Hairston & Levant Hairston","3023 Chandler Mill Road","Pelham","NC","27311","3023 Chandler Mill Road","","Pelham","NC","27311","(336)939-7176","(336)939-7176","FCL-017-026","960575","Active",3
"Caswell","Mildred's Family Care",6,"Mildred's Family Care, Inc.","3592 Marshall Graves Road","Yanceyville","NC","27379","3658 Cherry Grove Road","","Elon","NC","27244","(336)421-0646","(336)421-5666","FCL-017-006","920317","Active",4
"Caswell","New Beginnings",6,"Annie Long","591 Marshall Graves Road","Yanceyville","NC","27379","P O Box 1112","","Yanceyville","NC","27379","(336)694-9505","(336)694-6483","FCL-017-047","920628","Active",3
"Caswell","Parker's Family Care Home",6,"Alfreda Parker Graves","10123 Wades Dead End","Cedar Grove","NC","27231","502 Westgate Dr","","Elon","NC","27244","(336)226-3320","(336)562-5592","FCL-017-042","920893","Active",4
"Caswell","Rudd Ridge Family Care",6,"Rudd Ridge Family Care Home, Inc","643 Rudd Ridge Road","Yanceyville","NC","27379","643 Rudd Ridge Road","","Yanceyville","NC","27379","(336)421-6055","(336)421-6055","FCL-017-039","020139","Active",4
"Caswell","Serenity Family Care Home",6,"Serenity Family Care Home of Reidsville, Inc","596 Neal Road","Reidsville","NC","27320","P O Box 1612","","Reidsville","NC","27323-1612","(336)342-1884","(336)342-1884","FCL-017-053","051449","Active",4
"Caswell","Shomari Family Care Home",6,"Annie Long","3879 Hodges Dairy Road","Yanceyville","NC","27379","P. O. Box 1112","","Yanceyville","NC","27379","(336)694-9994","(336)694-6483","FCL-017-021","944563","Active",4
"Caswell","Stoney Creek Family Care Home",6,"Robin F. Graves","2896 Stoney Creek School Road","Reidsville","NC","27320","2896 Stoney Creek School Road","","Reidsville","NC","27320","(336)421-0016","(336)421-3701","FCL-017-008","920460","Active",4
"Caswell","Taylor Family Care Home #1",6,"Alma L. Taylor","1188 Bertha Wilson Road","Blanch","NC","27212","1188 Bertha Wilson Road","","Blanch","NC","27212","(336)694-6194","(336)694-1533","FCL-017-017","921177","Active",3
"Caswell","Taylor Family Care Home #2",6,"Alma L. Taylor","1136 Bertha Wilson Road","Blanch","NC","27212","1136 Bertha Wilson Road","","Blanch","NC","27212","(336)694-1134","(336)694-1533","FCL-017-018","921176","Active",3
"Caswell","Terry Care Home",5,"LaWanda Ray","2446 Cherry Grove Road","Yanceyville","NC","27379","PO Box 4094","","Burlington","NC","27215","(336)421-0435","(336)421-5871","FCL-017-009","920597","Active",1
"Catawba","Mountain View Family Homecare",6,"Francesca Blanco","5276 Olde School Drive","Hickory","NC","28602","5276 Olde School Drive","","Hickory","NC","28602","(828)294-3894","(828)294-3894","FCL-018-037","030943","Ownership Changed",4
"Catawba","Professional Family Care",6,"Lori Crouch","906 3rd Street SE","Conover","NC","28613-1813","906 3rd Street SE","","Conover","NC","28613-1813","(828)464-3430","(   )   -","FCL-018-026","944445","Active",4
"Catawba","Serenity Family Care # 2",6,"Serenity Family Care Home, Inc","2415- B South Center Street","Hickory","NC","28602","2415  South Center Street","","Hickory","NC","28602-7230","(828)322-8890","(828)322-8890","FCL-018-034","110320","Active",4
"Chatham","Liselotte Rest Home",6,"Liselotte Rest Home, Inc","3035 Silk Hope Gum Springs Road","Pittsboro","NC","27312","3035 Silk Hope Gum Springs Rd.","","Pittsboro","NC","27312","(919)542-3089","(919)542-4595","FCL-019-006","940682","Active",4
"Cherokee","Elaine's Care",6,"Elaine's Care, LLC","288 6th Street","Andrews","NC","28901","288 6th Street","","Andrews","NC","28901","(828)321-9501","(828)321-9501","FCL-020-010","960151","Active",4
"Cherokee","Elaine's Care #2",5,"Rosalind E. Dockery","17 Moore Street","Andrews","NC","28901","17 Moore Street","","Andrews","NC","28901","(828)321-9501","(828)321-9501","FCL-020-016","971087","Active",0
"Cherokee","L and N Family Care Home",6,"L and N Family Care Home, Inc","142 Grassy Knob Road","Andrews","NC","28901","142 Grassy Knob Road","","Andrews","NC","28901","(828)321-5898","(828)321-0608","FCL-020-011","030421","Active",4
"Cherokee","Whispering Pines Family Care Home",6,"Whispering Pines Family Care Home, Inc","11 Piercy Road","Andrews","NC","28901","11 Piercy Road","","Andrews","NC","28901","(828)321-3191","(828)321-3191","FCL-020-013","040104","Active",4
"Chowan","Tyner Manor Family Care Home",6,"J. Lee C. Healthcare, Inc.","401 Dillard's Mill Road","Tyner","NC","27980","136B NC 45 South","","Merry Hill","NC","27957","(252)221-8113","(252)221-8113","FCL-021-004","920149","Active",4
"Clay","Bridging the Gap Family Care Home",6,"Bridging The Gap Family Care Home, Inc.","56 West Vineyard Lane","Hayesville","NC","28904","56 West Vineyard Lane","","Hayesville","NC","28904","(828)389-8817","(828)389-8817","FCL-022-006","970228","Active",4
"Cleveland","B. J.'s Family Care Home #1",5,"Betty J. Cooper","2127 McCraw Road","Mooresboro","NC","28114","PO Box 1236","","Boiling Springs","NC","28017","(704)434-7256","(704)434-4836","FCL-023-001","920059","Active",4
"Cleveland","B. J.'s Family Care Home #2",6,"Betty J. Cooper","2129 McCraw Road","Mooresboro","NC","28114","PO Box 1236","","Boiling Springs","NC","28017","(704)434-7256","(704)434-4836","FCL-023-002","920060","Active",4
"Cleveland","Focus Family Care Home",6,"Amin Joseph Tanyi","1020 E. Stagecoach Trail","Lawndale","NC","28090","4 Hawkins Street","","Shelby","NC","28150","(704)751-2009","(877)326-4974","FCL-023-050","170242","New",0
"Cleveland","Gift of Life",4,"Jacqueline B. Hoey","1006 Fallston Road","Shelby","NC","28150","1006 Fallston Rd","","Shelby","NC","28150","(704)482-0861","(704)482-0861","FCL-023-035","051452","Active",4
"Cleveland","Gordon's Family Care Home",4,"Terrie Gordon","3727 Rube Spangler Road","Lawndale","NC","28090","PO Box 94","","Lawndale","NC","28090","(704)538-0116","(704)538-0116","FCL-023-007","920446","Active",4
"Cleveland","Greene Haven Family Care",6,"Harris Enterprises of NC Inc","1833 Stoney Point Road","Shelby","NC","28151","PO Box 1803","","Shelby","NC","28151","(704)435-8044","(704)481-7817","FCL-023-037","920466","Active",3
"Cleveland","Heavenly Touch Care Home",6,"Heavenly Care, PLLC","429 Crocker Road","Kings Mountain","NC","28086","PO Box 1873","","Kings Mountain","NC","28086","(704)739-6429","(704)734-5967","FCL-023-038","920517","Active",4
"Cleveland","Howard's Hill Home",6,"Linda Howard","1332 E. Stagecoach Trail","Lawndale","NC","28090","1332 E. Stagecoach Trail","","Lawndale","NC","28090","(704)538-9677","(704)312-6050","FCL-023-012","920578","Active",4
"Cleveland","Lean's 3 Family Care Home",5,"Andre' McCluney","309 Wilson Street","Shelby","NC","28150","721 West Warren Street","","Shelby","NC","28150","(704)538-3713","(704)538-3713","FCL-023-049","160278","Active",0
"Cleveland","McCluney Family Care Home",6,"Andre Latresia Peak McCluney","837 West Warren Street","Shelby","NC","28150","721 West Warren Street","","Shelby","NC","28150","(704)406-9721","(704)538-3713","FCL-023-047","140075","Active",0
"Cleveland","Morning Star Family Care Home",5,"Morningstar Family Care Home, Inc.","737 Sugar Hill Road","Lawndale","NC","28090","PO Box 653","","Fallston","NC","28042","(704)538-8680","(   )   -","FCL-023-014","920810","Active",4
"Cleveland","Nellie's Family Care Home",6,"Nellie's Family Care Home, Inc","1608 Fallston Road","Shelby","NC","28150","1608 Fallston Road","","Shelby","NC","28150","(704)482-0340","(704)482-0340","FCL-023-015","920847","Active",3
"Cleveland","Paula's Family Care Home",6,"Paula's Family Care Home Inc","605 Sugarhill Road","Lawndale","NC","28090","605 Sugarhill Road","","Lawndale","NC","28090","(704)538-0526","(704)312-6225","FCL-023-016","920905","Active",4
"Cleveland","Serenity Living",5,"Marickeyo S. Huskey","208 Leslie Drive","Shelby","NC","28152","113 Serenity Drive","","Shelby","NC","28152","(704)600-6480","(704)466-3043","FCL-023-043","110930","Active",3
"Cleveland","Serenity Living Family Care # 2",6,"Marickeyo Huskey","113 Leslie Drive","Shelby","NC","28152","113 Serenity Drive","","Shelby","NC","28152","(704)487-5666","(704)466-3043","FCL-023-046","130550","Active",3
"Cleveland","Sweet Caroline Assisted Living",6,"Sweet Caroline Assisted Living, LLC","110 Greene Drive","Shelby","NC","28150","PO Box 1054","","Shelby","NC","28151","(980)404-0192","(980)404-0218","FCL-023-048","150241","Active",0
"Columbus","Liberty Hill Family Care",2,"Liberty Hill Family Care Home Inc","1874 Farmers Union Road","Clarkton","NC","28433-9527","1874 Farmers Union Road","","Clarkton","NC","28433-9527","(910)647-0216","(910)647-0216","FCL-024-012","100876","Active",3
"Columbus","Mt. Olive Family Care Home",6,"Willie E. & Joan P. Spruill","2583 Red Store Road","Whiteville","NC","28472","305 Jackson Street","","Fairmont","NC","28340","(910)648-4946","(910)628-7755","FCL-024-002","920833","Active",2
"Columbus","Robin's Nest Family Care Home",6,"Robin's Nest Family Care Home, LLC","1514 Sunset Terrace","Whiteville","NC","28472","1514 Sunset Terrace","","Whiteville","NC","28472","(910)914-6015","(910)207-6708","FCL-024-017","140219","New",0
"Columbus","Smith Family Care Home",4,"Ronnette Smith","492 Spearman Road","Bolton","NC","28423","492 Spearman Road","","Bolton","NC","28423","(910)655-9827","(910)655-9827","FCL-024-014","111015","Active",3
"Cumberland","A Touch of Grace",6,"A Touch of Grace, Inc","7028 Kittridge Drive","Fayetteville","NC","28314","P.O. Box 35939","","Fayetteville","NC","28303-0939","(910)867-9754","(910)867-4600","FCL-026-002","920007","Active",4
"Cumberland","Alexander's Touch Family Care Home",5,"Favor Cap Services, Inc.","1446 Pamalee Drive","Fayetteville","NC","28303","3746 Stedman Cedar Creek Road","","Fayetteville","NC","28312","(910)488-0443","(910)484-7226","FCL-026-069","170136","New",0
"Cumberland","Country Living Assisted Living Facility",5,"Country Living Estates, Inc.","4761 Draughon Road","Fayetteville","NC","28312","PO Box 211","","Wade","NC","28395","(910)484-1701","(910)433-2141","FCL-026-065","110989","Active",0
"Cumberland","Forest Hill Group Home",6,"Magnolia Lane Health Care Inc.","3510 Camden Road","Fayetteville","NC","28306","3510 Camden Road","","Fayetteville","NC","28306","(910)425-8751","(910)644-1257","FCL-026-031","960498","Active",4
"Cumberland","Glenn Krystle's Manor",5,"Cynthia D. Garrison","220 Davis Street","Fayetteville","NC","28305","1887 Spiralwood Drive","","Fayetteville","NC","28304","(910)486-8854","(910)401-1393","FCL-026-049","920122","Active",4
"Cumberland","Hope Family Care Home",6,"Hope Family Care Home, LLC","3634 Crosswinds Drive","Hope Mills","NC","28348","3634 Crosswinds Drive","","Hope Mills","NC","28348","(910)491-6959","","FCL-026-067","170178","New",0
"Cumberland","Just One Touch Homes #1",0,"Just One Touch Homes, LLC","2320 Rustic Trail","Fayetteville","NC","28306","2320 Rustic Trail","","Fayetteville","NC","28306","(910)491-3419","(910)491-3419","FCL-026-068","060070","New",0
"Cumberland","Leach's Family Care Home",5,"Taft's Creative Service Council, Inc.","413 Country Club Drive","Fayetteville","NC","28301","P O Box 43207","","Fayetteville","NC","28309","(910)630-1946","(   )   -","FCL-026-037","970756","Active",3
"Cumberland","McLeod Family Care Center of Fayetteville",6,"Annie Doris McLeod","248 Livermore Drive","Fayetteville","NC","28314","PO Box 41135","","Fayetteville","NC","28309-1135","(910)580-5934","(910)229-3741","FCL-026-008","941203","Active",2
"Cumberland","Parker House #2",6,"Carolyn Parker","811 Lakeland Avenue","Fayetteville","NC","28301","811 Lakeland Avenue","","Fayetteville","NC","28301","(910)229-3866","(910)491-3101","FCL-026-021","945120","Active",4
"Cumberland","Parker House #3",6,"Carolyn Parker","513 Mechanic Street","Fayetteville","NC","28301","PO Box 334","","Fayetteville","NC","28302","(910)485-4516","(910)485-3858","FCL-026-035","970755","Active",4
"Cumberland","Parker House Family Care Home #1",4,"Carolyn Parker","336 Moore Street","Fayetteville","NC","28301","336 Moore Street","","Fayetteville","NC","28301","(910)323-2575","(910)485-3858","FCL-026-018","920892","Active",4
"Davidson","Kateland Family Care Home",6,"Southland Village, LLC","294 Old Highway 109","Lexington","NC","27292","2959 Sowers Road","","Linwood","NC","27299","(336)472-2745","(336)472-2745","FCL-029-003","920623","Active",3
"Davidson","The Clinard House",6,"The Almost Home Group, LLC","108 Kathland Avenue","Thomasville","NC","27360","111 Circle Drive","","Thomasville","NC","27360","(336)481-9087","","FCL-029-012","150264","Active",3
"Davidson","The Lyman House",6,"The Almost Home Group, LLC","900 Kenreed Drive","Thomasville","NC","27360","111 Circle Drive","","Thomasville","NC","27360","(336)481-9592","(336)313-5268","FCL-029-011","140194","Active",3
"Davidson","The Perryman House",6,"The Almost Home Group, LLC","902 Kenreed Drive","Thomasville","NC","27360","111 Circle Drive","","Thomasville","NC","27360","(336)313-6114","(336)313-5268","FCL-029-009","120653","Active",4
"Davidson","Westanna Family Care",6,"McCubbins Real Estate Group, LLC","716 West 5th Avenue","Lexington","NC","27292","2959 Sowers Road","","Linwood","NC","27299","(336)248-6489","(336)248-6489","FCL-029-001","944997","Active",0
"Davie","Magnolia Place",6,"Bethamy Enterprises, Inc","270 Duke Street","Mocksville","NC","27028","909 N. Salisbury Avenue","","Spencer","NC","28159-2159","(704)633-1985","(704)637-1146","FCL-030-002","970918","Active",4
"Duplin","Blizzard Family Care Home",6,"Blizzard Family Care Home, Inc.","1051 Firetower Road","Rose Hill","NC","28458","1051 Firetower Road","","Rose Hill","NC","28458","(910)223-0057","(910)282-0309","FCL-031-019","960872","Active",2
"Duplin","Moore Family Care Home #1",6,"Ernestine B. Moore","181 East Charity Road","Rose Hill","NC","28458","181 East Charity Road","","Rose Hill","NC","28458","(910)289-7183","(910)289-3285","FCL-031-005","920801","Active",3
"Duplin","Moore Family Care Home #2",6,"Ernestine B. Moore","171 East Charity Road","Rose Hill","NC","28458","171 East Charity Road","","Rose Hill","NC","28458","(910)289-7183","(919)289-3285","FCL-031-007","920800","Active",4
"Duplin","Parish Family Care Home",6,"Parish Family Care Home LLC","856 Claude Scott Road","Warsaw","NC","28398","856 Claude Scott Road","","Warsaw","NC","28398","(910)293-4221","(910)293-4686","FCL-031-013","930887","Active",4
"Durham","Angelica Houses Family Care Home",6,"Angelica Rambert","2007 Stadium Drive","Durham","NC","27705","2007 Stadium Drive","","Durham","NC","27705","(919)477-6540","(919)471-5264","FCL-032-086","070440","Active",4
"Durham","Arnette Home",6,"Jones Family Homes, LLC","1202 Arnette Avenue","Durham","NC","27707","P O Box 103","","Semora","NC","27343","(919)680-6155","(919)479-1010","FCL-032-155","960707","Active",3
"Durham","Atterbury Home",6,"Jones Family Homes, LLC","1802 Atterbury Lane","Durham","NC","27712","P O Box 103","","Semora","NC","27343","(919)479-3232","(919)479-1010","FCL-032-154","920042","Active",3
"Durham","August Estates at Umstead Pines",6,"August Estates, LLC","2713 Green Lane Drive","Durham","NC","27712","P.O. Box 16457","","Chapel Hill","NC","27516","(984)439-8199","(984)223-0012","FCL-032-156","160618","Active",3
"Durham","Autumn's Way Care Home",6,"Autumn's Way Care Home Inc.","4811 Bay Point Drive","Durham","NC","27713-9413","1601 James Street","","Durham","NC","27707-1515","(919)293-1177","(919)323-3585","FCL-032-136","140013","Active",4
"Durham","B.J.'s Family Care Home",6,"Barbara Bright","716 Hugo Street","Durham","NC","27704","716 Hugo Street","","Durham","NC","27704","(919)220-5203","(   )   -","FCL-032-062","920179","Active",3
"Durham","Caremind Homes",4,"LuLu Johns & Walter Johns","617 Sybil Drive","Durham","NC","27703","617 Sybil Drive","","Durham","NC","27703","(919)294-4095","(919)294-4095","FCL-032-095","080876","Active",4
"Durham","Central Family Care Home",6,"Thelma B. Brown, Ph.D., M.P.H., R.N., CHE","3714 Cole Mill Road","Durham","NC","27705","811 9th Street","Suite 120-137","Durham","NC","27705-4149","(919)383-5724","(919)680-6653","FCL-032-068","920232","Active",3
"Durham","Central Family Care Home - Clayton Road",5,"Dr. Thelma B. Brown","916 Clayton Road","Durham","NC","27703","811 9th Street","Suite 120-137","Durham","NC","27705","(919)620-8662","(919)680-6653","FCL-032-158","060356","New",0
"Durham","Changing Places Family Care Home of Durham",6,"Hattie J. Dunham","725 Hanson Road","Durham","NC","27713","209 Ganyard Farmway","","Durham","NC","27703","(919)248-0650","(919)479-9055","FCL-032-146","960821","Active",3
"Durham","Crawley Family Care Home",6,"Crawley Family Care Home LLC","1607 Amberley Drive","Durham","NC","27704","908 Clifford Drive","","Durham","NC","27704","(919)564-7489","(919)564-7489","FCL-032-127","120247","Active",4
"Durham","Crawley Family Care Home at Haverford",6,"Crawley Family Care Home, LLC","1913 Haverford Street","Durham","NC","27705","1913 Haverfored st","","Durham","NC","27705","(919)220-6257","(984)329-7319","FCL-032-161","921046","New",4
"Durham","Elsie-Doris Family Care Home",4,"Paquita T. Jones","306 Cherrygrove Street","Durham","NC","27703","306 Cherrygrove Street","","Durham","NC","27703-3006","(919)913-5369","(919)596-7156","FCL-032-088","061353","Active",3
"Durham","Elsie-Doris Family Care Home II",6,"Paquita Tamecia Jones","1009 S Alston Avenue","Durham","NC","27701","1009 S Alston Avenue","","Durham","NC","27701-4407","(919)399-1721","(919)680-2730","FCL-032-108","061048","Active",3
"Durham","Faith Homes & Habilitation II",6,"Destiny Pursuits, Inc.","207 Hickory Glen Lane","Durham","NC","27703","5316 Cumberland Plain Drive","","Raleigh","NC","27616","(919)961-1757","(919)400-4277","FCL-032-140","120456","Active",4
"Durham","Faith Homes & Habilitation III",6,"Destiny Pursuits, Inc.","4014 Suitt Road","Durham","NC","27703","5316 Cumberland Plain Drive","","Raleigh","NC","27616","(919)251-9539","(919)400-4277","FCL-032-138","140189","Active",3
"Durham","Guardian Home Healthcare",6,"Guardian Home Healthcare, Inc.","234 Seven Oaks Road","Durham","NC","27704","130 Selsey Dr","","Wake Forest","NC","27587","(919)426-1653","(   )   -","FCL-032-151","090166","Ownership Changed",4
"Durham","Jones Family Home",6,"Robert and Natalie Jones","2122 Overland Drive","Durham","NC","27704","PO Box 103","","Semora","NC","27343","(919)688-6205","(919)479-1010","FCL-032-096","090310","Active",4
"Durham","Little Family Care Home",3,"Tondra A. Little","1012 DaVinci Street","Durham","NC","27704","2804 Nellowood Street","","Durham","NC","27704","(919)358-7520","(984)227-2543","FCL-032-159","170252","New",0
"Durham","M & L Family Care",5,"RoShaun Williams","2124 Strebor Street","Durham","NC","27705","2124 Strebor Street","","Durham","NC","27705","(919)471-5688","(919)471-5689","FCL-032-134","120617","Active",3
"Durham","Maggie's Helping Hands",4,"Jamaal Lee Leathers","1011 Park Avenue","Durham","NC","27701","1011 Park Avenue","","Durham","NC","27701","(919)381-6583","(919)381-6815","FCL-032-132","130145","Active",4
