FID,ID,SECCLASS,NAME,TELEPHONE,ADDRESS,ADDRESS2,CITY,STATE,ZIP,ZIPP4,COUNTY,FIPS,DIRECTIONS,EMERGTITLE,EMERGTEL,EMERGEXT,CONTDATE,CONTHOW,GEODATE,GEOHOW,HSIPTHEMES,NAICSCODE,NAICSDESCR,GEOLINKID,X,Y,ST_VENDOR,ST_VERSION,GEOPREC,PHONELOC,QC_QA,WEBSITE,NPI,ENT_TYPE,ORGAN_NAME,PROVID_11,PROVID_12,PROVID_20,PROVID_21,PROVID_22,PROVID_23,PROVID_24,PROVID_25,PROVID_26,PROVID_27,PROVID_36,LASTUP_37,HEALTH_47,PROVID_48,PROVID_49,HEALTH_51,PROVID_52,PROVID_53,HEALTH_55,PROVID_56,PROVID_57,HEALTH_59,PROVID_60,PROVID_61,HEALTH_63,PROVID_64,PROVID_65,HEALTH_67,PROVID_68,PROVID_69,HEALTH_71,PROVID_72,PROVID_73,HEALTH_75,PROVID_76,PROVID_77,HEALTH_79,PROVID_80,PROVID_81,HEALTH_83,PROVID_84,PROVID_85,HEALTH_87,PROVID_88,PROVID_89,HEALTH_91,PROVID_92,PROVID_93,HEALTH_95,PROVID_96,PROVID_97,HEALTH_99,PROVID_100,PROVID_101,HEALTH_103,PROVID_104,PROVID_105
42317,11681509,UNCLASSIFIED,CVS - 3525,336-838-5194,1320 WEST D STREET, ,NORTH WILKESBORO,NC,28659,3506,WILKES,37193, , , , ,2010-06-09T00:00:00.000Z,ALT REF,2010-06-09T00:00:00.000Z,MANUAL,"CRITICAL INFRASTRUCTURE, PDD-63; PUBLIC HEALTH; PHARMACIES",446110,PHARMACIES,125077297,-81.1552259,36.1597303,NAVTEQ,2009Q4,ONENTITY,YES,TECHNIGRAPHICS,HTTP://WWW.CVS.COM,1336242197,2,REVCO DISCOUNT DRUG CENTERS INC,CVS PHARMACY # 03525,3,1 CVS DR,PO BOX 1075,WOONSOCKET,RI,028956146,US, , ,09/07/2006,02/05/2009,3336C0003X, , ,333600000X,6742,NC, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
42318,11648070,UNCLASSIFIED,MEDICAL VILLAGE PHARMACY INCORPORATED,828-322-4505,815 FAIRGROVE CHURCH ROAD SOUTHEAST, ,CONOVER,NC,28613,8609,CATAWBA,37035, , , , ,2010-06-04T00:00:00.000Z,ALT REF,2010-06-04T00:00:00.000Z,MANUAL,"CRITICAL INFRASTRUCTURE, PDD-63; PUBLIC HEALTH; PHARMACIES",446110,PHARMACIES,102544085,-81.2644682,35.714312,NAVTEQ,2009Q4,ONENTITY, ,TECHNIGRAPHICS, ,1083672059,2,"MEDICAL VILLAGE PHARMACY, INC.", , ,815 FAIRGROVE CHURCH RD, ,CONOVER,NC,286138609,US,8283224505,8283222669,05/01/2006,05/05/2009,3336C0003X,3132,NC, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
42319,11655578,UNCLASSIFIED,MACK'S 1ST RX PHARMACY INCORPORATED,704-585-2102,8782 NC HIGHWAY 90 EAST, ,STONY POINT,NC,28678,9425,ALEXANDER,37003, , , , ,2010-06-09T00:00:00.000Z,ALT REF,2010-06-09T00:00:00.000Z,MANUAL,"CRITICAL INFRASTRUCTURE, PDD-63; PUBLIC HEALTH; PHARMACIES",446110,PHARMACIES,102394241,-81.0474674,35.86258,NAVTEQ,2009Q4,ONENTITY, ,TECHNIGRAPHICS, ,1528097441,2,MACK'S 1ST RX PHARMACY INC, , ,837 N CENTER ST, ,STATESVILLE,NC,286773222,US,7048720880,7048710440,07/02/2006,07/08/2007,3336C0003X,5995,NC, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
42321,11660905,UNCLASSIFIED,WAL-MART SUPERCENTER - 3371,704-392-7282,3240 WILKINSON BOULEVARD, ,CHARLOTTE,NC,28208,5630,MECKLENBURG,37119, , , , ,2010-05-24T00:00:00.000Z,ALT REF,2010-05-24T00:00:00.000Z,MANUAL,"CRITICAL INFRASTRUCTURE, PDD-63; PUBLIC HEALTH; PHARMACIES",446110,PHARMACIES,28227939,-80.8946117,35.2264088,NAVTEQ,2009Q4,ONENTITY,YES,TECHNIGRAPHICS,HTTP://WWW.WALMART.COM,1700803947,2,WAL-MART STORES EAST LP,WAL-MART PHARMACY,3,702 SW 8TH ST, ,BENTONVILLE,AR,727166209,US, , ,07/16/2006,01/26/2009,332B00000X, , ,333600000X, , ,3336C0003X,9147,NC, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
42322,11642925,UNCLASSIFIED,YOUR PHARMACY OF LEXINGTON / PILL TIME,336-249-0322,100 WEST 3RD STREET, ,LEXINGTON,NC,27292,2362,DAVIDSON,37057, , , , ,2010-08-24T00:00:00.000Z,PHONE,2010-08-24T00:00:00.000Z,MANUAL,"CRITICAL INFRASTRUCTURE, PDD-63; PUBLIC HEALTH; PHARMACIES",446110,PHARMACIES,102515217,-80.2523376,35.8271613,NAVTEQ,2009Q4,ONENTITY,YES,TECHNIGRAPHICS,HTTP://WWW.YOURPHARMACYOFLEXINGTON.COM,1164596318,2,PHARMCOVILLE,YOUR PHARMACY OF LEXINGTON,3,100 W 3RD ST, ,LEXINGTON,NC,272922362,US,3362490322,3362498572,11/20/2006,02/19/2008,3336C0003X,6116,NC, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
42323,11669195,UNCLASSIFIED,WALGREENS - 1376,704-367-1716,6649 MORRISON BOULEVARD, ,CHARLOTTE,NC,28211,3516,MECKLENBURG,37119, , , , ,2010-05-24T00:00:00.000Z,ALT REF,2010-05-24T00:00:00.000Z,MANUAL,"CRITICAL INFRASTRUCTURE, PDD-63; PUBLIC HEALTH; PHARMACIES",446110,PHARMACIES,28236552,-80.8268936,35.1532217,NAVTEQ,2009Q4,ONENTITY,YES,TECHNIGRAPHICS,HTTP://WWW.WALGREENS.COM,1922013028,2,WALGREEN CO,WALGREENS #01376,3,1901 E VOORHEES ST,MS #720,DANVILLE,IL,618344509,US,2175548964,2175548546,07/29/2006,06/10/2008,3336C0003X, , ,332B00000X, , ,333600000X,9227,NC, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
42324,11701152,UNCLASSIFIED,BROUGHTON HOSPITAL,828-433-2111,1000 SOUTH STERLING STREET, ,MORGANTON,NC,28655,3938,BURKE,37023, , , , ,2010-05-26T00:00:00.000Z,ALT REF,2010-05-26T00:00:00.000Z,MANUAL,"CRITICAL INFRASTRUCTURE, PDD-63; PUBLIC HEALTH; PHARMACIES",446110,PHARMACIES,118982103,-81.67393,35.7304844,NAVTEQ,2009Q4,ONENTITY,YES,TECHNIGRAPHICS,HTTP://WWW.DHHS.STATE.NC.US/DSOHF/BROUGHTON,1265567663,2,BROUGHTON HOSPITAL, , ,1000 SOUTH STERLING STREET, ,MORGANTON,NC,286553938,US,8284332161,8284332188,02/23/2007,07/09/2007,3336I0012X, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
42325,11665882,UNCLASSIFIED,TARGET,704-599-3472,8120 UNIVERSITY CITY BOULEVARD, ,CHARLOTTE,NC,28213,8126,MECKLENBURG,37119, , , , ,2010-05-24T00:00:00.000Z,ALT REF,2010-05-24T00:00:00.000Z,MANUAL,"CRITICAL INFRASTRUCTURE, PDD-63; PUBLIC HEALTH; PHARMACIES",446110,PHARMACIES,16991502,-80.7457288,35.2925622,NAVTEQ,2009Q4,ONENTITY,YES,TECHNIGRAPHICS,HTTP://WWW.TARGET.COM,1336161991,2,TARGET CORPORATION AND SUBSIDIARIES,TARGET PHARMACY,3,1000 NICOLLET MALL # 0910, ,MINNEAPOLIS,MN,554032542,US, , ,07/24/2006,09/15/2008,332B00000X, , ,333600000X, , ,3336C0003X,6950,NC, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
42326,11654332,UNCLASSIFIED,WHITE STAR DISCOUNT PHARMACY,910-572-2129,436 ALBEMARLE ROAD, ,TROY,NC,27371,3102,MONTGOMERY,37123, , , , ,2010-08-13T00:00:00.000Z,PHONE,2010-08-13T00:00:00.000Z,MANUAL,"CRITICAL INFRASTRUCTURE, PDD-63; PUBLIC HEALTH; PHARMACIES",446110,PHARMACIES,102389177,-79.9023082,35.3551698,NAVTEQ,2009Q4,ONENTITY,YES,TECHNIGRAPHICS, ,1871529099,2,WHITE STAR DISCOUNT PHARMACY INC,WHITE STAR DISCOUNT PHARMACY,3,436 ALBEMARLE RD, ,TROY,NC,273713102,US,9105722129,9105729606,06/23/2006,11/03/2009,333600000X, , ,3336C0003X,04237,NC, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
42327,11666263,UNCLASSIFIED,SENIOR CARE PHARMACY,704-545-8641,4455 MORRIS PARK DRIVE,SUITE A,CHARLOTTE,NC,28227,9264,MECKLENBURG,37119, , , , ,2010-05-24T00:00:00.000Z,ALT REF,2010-05-24T00:00:00.000Z,MANUAL,"CRITICAL INFRASTRUCTURE, PDD-63; PUBLIC HEALTH; PHARMACIES",446110,PHARMACIES,792436314,-80.6819205,35.1529446,NAVTEQ,2009Q4,ONENTITY, ,TECHNIGRAPHICS, ,1598787566,2,S&S PHARMACY SERVICES LLC,SENIORCARE PHARMACY,3,4455 MORRIS PARK DR,SUITE A,CHARLOTTE,NC,282279264,US,7045458641,7045738344,07/25/2006,05/28/2008,335E00000X,4892290001,NC,335E00000X,4892290001,SC,335E00000X,4892290001,TN,332B00000X,4892290001,NC,332B00000X,4892290001,SC,332B00000X,4892290001,TN,332BP3500X,4892290001,NC,332BP3500X,4892290001,SC,332BP3500X,4892290001,TN,3336L0003X,60006396,SC,3336L0003X,0000004270,TN,3336L0003X,07712,NC, , , , , , , , , 
42328,11679203,UNCLASSIFIED,KERR DRUG,336-454-4327,1587 SKEET CLUB ROAD, ,HIGH POINT,NC,27265,9530,GUILFORD,37081, , , , ,2010-06-16T00:00:00.000Z,ALT REF,2010-06-16T00:00:00.000Z,MANUAL,"CRITICAL INFRASTRUCTURE, PDD-63; PUBLIC HEALTH; PHARMACIES",446110,PHARMACIES,17069372,-79.9698828,36.0319561,NAVTEQ,2009Q4,ONENTITY,YES,TECHNIGRAPHICS,HTTP://WWW.KERRDRUG.COM,1669582359,2,KERR DRUG INC A DELAWARE COMPANY,KERR DRUG 317,3,2531 EASTCHESTER DR, ,HIGH POINT,NC,272653587,US, , ,08/30/2006,07/08/2007,333600000X,6882,NC,3336C0003X, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
42329,11712089,UNCLASSIFIED,THE DRUG STORE,704-742-7365,2667 EAST MAIN STREET, ,LINCOLNTON,NC,28092,4357,LINCOLN,37109, , , , ,2010-06-08T00:00:00.000Z,ALT REF,2010-06-08T00:00:00.000Z,MANUAL,"CRITICAL INFRASTRUCTURE, PDD-63; PUBLIC HEALTH; PHARMACIES",446110,PHARMACIES,125089572,-81.2058204,35.483034,NAVTEQ,2009Q4,ONENTITY, ,TECHNIGRAPHICS, ,1710209465,2,BROOKINS INC,THE DRUG STORE BOGER CITY,3,2667 E MAIN ST, ,LINCOLNTON,NC,280924357,US,7047427365,7047324917,02/23/2010,03/02/2010,332B00000X, , ,333600000X, , ,3336C0003X,10482,NC, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
42330,11689765,UNCLASSIFIED,FAMILY CARE RX,704-263-0019,532 SOUTH HIGHWAY 27, ,STANLEY,NC,28164,2056,GASTON,37071, , , , ,2010-10-04T00:00:00.000Z,PHONE,2010-10-04T00:00:00.000Z,MANUAL,"CRITICAL INFRASTRUCTURE, PDD-63; PUBLIC HEALTH; PHARMACIES",446110,PHARMACIES,783070364,-81.0884537,35.3501107,NAVTEQ,2009Q4,ONENTITY,YES,TECHNIGRAPHICS, ,1215021621,2,FAMILY CARE RX, , ,532 S HIGHWAY 27, ,STANLEY,NC,281642056,US, , ,10/03/2006,02/29/2008,3336C0003X,09391,NC, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
42331,11693650,UNCLASSIFIED,HARRIS TEETER - 306,336-297-1467,3330 WEST FRIENDLY AVENUE, ,GREENSBORO,NC,27410,4806,GUILFORD,37081, , , , ,2010-06-16T00:00:00.000Z,ALT REF,2010-06-16T00:00:00.000Z,MANUAL,"CRITICAL INFRASTRUCTURE, PDD-63; PUBLIC HEALTH; PHARMACIES",446110,PHARMACIES,17058873,-79.8376167,36.0880615,NAVTEQ,2009Q4,ONENTITY,YES,TECHNIGRAPHICS,HTTP://WWW.HARRISTEETER.COM,1225108459,2,"HARRIS TEETER, INC.",HARRIS TEETER PHARMACY,5,701 CRESTDALE RD, ,MATTHEWS,NC,281051700,US,7048443100,7048446556,11/08/2006,02/04/2008,3336C0003X,09404,NC, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
42332,11673280,UNCLASSIFIED,JEFFERSON DRUG STORE,336-246-9492,418 EAST MAIN STREET, ,JEFFERSON,NC,28640,8984,ASHE,37009, , , , ,2010-06-07T00:00:00.000Z,ALT REF,2010-06-07T00:00:00.000Z,MANUAL,"CRITICAL INFRASTRUCTURE, PDD-63; PUBLIC HEALTH; PHARMACIES",446110,PHARMACIES,102388798,-81.4680634,36.4203741,NAVTEQ,2009Q4,ONENTITY, ,TECHNIGRAPHICS, ,1619987385,2,GKB INC.,JEFFERSON DRUG STORE,3,PO BOX 155,418 E MAIN ST,JEFFERSON,NC,286400155,US,3362469492,3368469177,08/08/2006,11/15/2007,3336C0003X,5064,NC, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
42333,11672730,UNCLASSIFIED,WALGREENS - 7767,704-784-1977,5230 POPLAR TENT ROAD, ,CONCORD,NC,28027,7757,CABARRUS,37025, , , , ,2010-06-01T00:00:00.000Z,ALT REF,2010-06-01T00:00:00.000Z,MANUAL,"CRITICAL INFRASTRUCTURE, PDD-63; PUBLIC HEALTH; PHARMACIES",446110,PHARMACIES,778284201,-80.6662386,35.4134579,NAVTEQ,2009Q4,ONENTITY,YES,TECHNIGRAPHICS,HTTP://WWW.WALGREENS.COM,1922015924,2,WALGREEN CO,WALGREENS #07767,3,1901 E VOORHEES ST,MAILSTOP #720,DANVILLE,IL,618344509,US,2175548964,2175548546,08/02/2006,06/10/2008,332B00000X, , ,3336C0003X, , ,333600000X,8470,NC, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
42334,11710074,UNCLASSIFIED,WAL-MART SUPERCENTER - 5747,704-781-0574,1876 WEST MAIN STREET, ,LOCUST,NC,28097,7700,STANLY,37167, , , , ,2010-06-08T00:00:00.000Z,ALT REF,2010-06-08T00:00:00.000Z,MANUAL,"CRITICAL INFRASTRUCTURE, PDD-63; PUBLIC HEALTH; PHARMACIES",446110,PHARMACIES,102424413,-80.4571107,35.2566286,NAVTEQ,2009Q4,ONENTITY,YES,TECHNIGRAPHICS,HTTP://WWW.WALMART.COM,1912131384,2,WAL-MART STORES EAST LP,WAL-MART PHARMACY,3,702 SW 8TH ST, ,BENTONVILLE,AR,727160445,US,4792771238,4792774331,05/13/2009,11/20/2009,332B00000X, , ,3336C0003X,1036,NC, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
42335,11684003,UNCLASSIFIED,HARRIS TEETER - 244,336-282-4472,3357 BATTLEGROUND AVENUE, ,GREENSBORO,NC,27410,2401,GUILFORD,37081, , , , ,2010-06-10T00:00:00.000Z,ALT REF,2010-06-11T00:00:00.000Z,MANUAL,"CRITICAL INFRASTRUCTURE, PDD-63; PUBLIC HEALTH; PHARMACIES",446110,PHARMACIES,127907713,-79.8459884,36.1206258,NAVTEQ,2009Q4,ONENTITY,YES,TECHNIGRAPHICS,HTTP://WWW.HARRISTEETER.COM,1962506543,2,"HARRIS TEETER, INC.",HARRIS TEETER PHARMACY,5,701 CRESTDALE RD, ,MATTHEWS,NC,281051700,US,7048443100,7048446556,09/12/2006,02/04/2008,3336C0003X,09034,NC, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
42336,11669205,UNCLASSIFIED,WALGREENS - 4870,704-723-9463,735 CABARRUS AVENUE WEST, ,CONCORD,NC,28027,6850,CABARRUS,37025, , , , ,2010-06-01T00:00:00.000Z,ALT REF,2010-06-01T00:00:00.000Z,MANUAL,"CRITICAL INFRASTRUCTURE, PDD-63; PUBLIC HEALTH; PHARMACIES",446110,PHARMACIES,28205238,-80.6074187,35.3956475,NAVTEQ,2009Q4,ONENTITY,YES,TECHNIGRAPHICS,HTTP://WWW.WALGREENS.COM,1821003922,2,WALGREEN CO,WALGREENS #04870,3,1901 E VOORHEES ST,MAILSTOP #720,DANVILLE,IL,618344509,US,2175548964,2175548546,07/29/2006,06/10/2008,3336C0003X, , ,332B00000X, , ,333600000X,7440,NC, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
42337,11661332,UNCLASSIFIED,SAM'S CLUB - 6540,704-593-0769,8909 JW CLAY BOULEVARD, ,CHARLOTTE,NC,28262,5415,MECKLENBURG,37119, , , , ,2010-05-24T00:00:00.000Z,ALT REF,2010-05-24T00:00:00.000Z,MANUAL,"CRITICAL INFRASTRUCTURE, PDD-63; PUBLIC HEALTH; PHARMACIES",446110,PHARMACIES,28211282,-80.7544775,35.3146149,NAVTEQ,2009Q4,ONENTITY,YES,TECHNIGRAPHICS,HTTP://WWW.SAMSCLUB.COM,1235156407,2,SAMS EAST INC,SAMS PHARMACY,3,702 SW 8TH ST, ,BENTONVILLE,AR,727166209,US, , ,07/16/2006,01/26/2009,332B00000X, , ,333600000X, , ,3336C0003X,8063,NC, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
42338,11661087,UNCLASSIFIED,WAL-MART SUPERCENTER - 2005,704-792-9830,2420 SUPERCENTER DRIVE NORTHEAST, ,KANNAPOLIS,NC,28083,6426,CABARRUS,37025, , , , ,2010-06-01T00:00:00.000Z,ALT REF,2010-06-01T00:00:00.000Z,MANUAL,"CRITICAL INFRASTRUCTURE, PDD-63; PUBLIC HEALTH; PHARMACIES",446110,PHARMACIES,118990452,-80.5946896,35.4625465,NAVTEQ,2009Q4,ONENTITY,YES,TECHNIGRAPHICS,HTTP://WWW.WALMART.COM,1114944378,2,WAL-MART STORES EAST LP,WAL-MART STORES EAST LP,3,702 SW 8TH ST, ,BENTONVILLE,AR,727160445,US, , ,07/16/2006,03/13/2009,332B00000X, , ,333600000X, , ,3336C0003X,7976,NC, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
42339,11651579,UNCLASSIFIED,THE VILLAGE AT BROOKWOOD,336-570-8440,1860 BROOKWOOD AVENUE, ,BURLINGTON,NC,27215,3200,ALAMANCE,37001, , , , ,2010-09-01T00:00:00.000Z,PHONE,2010-09-01T00:00:00.000Z,MANUAL,"CRITICAL INFRASTRUCTURE, PDD-63; PUBLIC HEALTH; PHARMACIES",446110,PHARMACIES,127919137,-79.4630352,36.0925752,NAVTEQ,2009Q4,ONENTITY,YES,TECHNIGRAPHICS,HTTP://WWW.VILLAGEATBROOKWOOD.ORG,1801837752,2,ALAMANCE REGIONAL MEDICAL CENTER INC,ARMC EXTENDED CARE PHARMACY,3,1840 BROOKWOOD AVE, ,BURLINGTON,NC,272153200,US,3365708357,3365708358,06/10/2006,07/08/2008,3336L0003X, , ,333600000X,09195,NC, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
42340,11656573,UNCLASSIFIED,KMART,828-264-9891,1620 BLOWING ROCK ROAD, ,BOONE,NC,28607,6144,WATAUGA,37189, , , , ,2010-06-10T00:00:00.000Z,ALT REF,2010-06-10T00:00:00.000Z,MANUAL,"CRITICAL INFRASTRUCTURE, PDD-63; PUBLIC HEALTH; PHARMACIES",446110,PHARMACIES,125327964,-81.6615729,36.1991029,NAVTEQ,2009Q4,ONENTITY,YES,TECHNIGRAPHICS,HTTP://WWW.KMART.COM,1417988577,2,K MART CORP,KMART PHARMACY9547,3,3333 BEVERLY RD,AC 367 B,HOFFMAN ESTATES,IL,601790001,US,8472864089,8472861603,07/06/2006,06/19/2009,332B00000X, , ,3336C0003X,9065,NC, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
42341,11681534,UNCLASSIFIED,CVS - 3852,336-288-5675,3000 BATTLEGROUND AVENUE, ,GREENSBORO,NC,27408,2708,GUILFORD,37081, , , , ,2010-06-11T00:00:00.000Z,ALT REF,2010-06-11T00:00:00.000Z,MANUAL,"CRITICAL INFRASTRUCTURE, PDD-63; PUBLIC HEALTH; PHARMACIES",446110,PHARMACIES,118990372,-79.835725,36.1159477,NAVTEQ,2009Q4,ONENTITY,YES,TECHNIGRAPHICS,HTTP://WWW.CVS.COM,1265535033,2,BATTLEGROUND AVENUE CVS LLC,CVS PHARMACY,3,1 CVS DR,PO BOX 1075,WOONSOCKET,RI,028956146,US, , ,09/07/2006,02/27/2008,3336C0003X, , ,333600000X,6650,NC, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
42342,11665878,UNCLASSIFIED,TARGET,704-896-2601,9801 SAM FURR ROAD, ,HUNTERSVILLE,NC,28078,8219,MECKLENBURG,37119, , , , ,2010-05-24T00:00:00.000Z,ALT REF,2010-05-24T00:00:00.000Z,MANUAL,"CRITICAL INFRASTRUCTURE, PDD-63; PUBLIC HEALTH; PHARMACIES",446110,PHARMACIES,40503752,-80.8612978,35.4432618,NAVTEQ,2009Q4,ONENTITY,YES,TECHNIGRAPHICS,HTTP://WWW.TARGET.COM,1790707354,2,TARGET CORPORATION AND SUBSIDIARIES,TARGET PHARMACY,3,1000 NICOLLET MALL # 0910, ,MINNEAPOLIS,MN,554032542,US, , ,07/24/2006,09/15/2008,332B00000X, , ,333600000X, , ,3336C0003X,5992,NC, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
42343,11700180,UNCLASSIFIED,PHARMACARE SERVICES,336-228-6337,138 MAPLE AVENUE, ,BURLINGTON,NC,27215,5847,ALAMANCE,37001, , , , ,2010-09-01T00:00:00.000Z,PHONE,2010-09-01T00:00:00.000Z,MANUAL,"CRITICAL INFRASTRUCTURE, PDD-63; PUBLIC HEALTH; PHARMACIES",446110,PHARMACIES,102476188,-79.4381348,36.0921697,NAVTEQ,2009Q4,ONENTITY,YES,TECHNIGRAPHICS, ,1851432710,2,PHARMACARE SERVICES INC, , ,447 S SPRING ST, ,BURLINGTON,NC,272155864,US, , ,02/12/2007,09/12/2007,3336L0003X,5652,NC, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
42344,11707991,UNCLASSIFIED,WAL-MART SUPERCENTER - 4477,336-869-6169,2710 NORTH MAIN STREET, ,HIGH POINT,NC,27265,2825,GUILFORD,37081, , , , ,2010-05-26T00:00:00.000Z,ALT REF,2010-05-26T00:00:00.000Z,MANUAL,"CRITICAL INFRASTRUCTURE, PDD-63; PUBLIC HEALTH; PHARMACIES",446110,PHARMACIES,748831112,-80.0283672,35.9943878,NAVTEQ,2009Q4,ONENTITY,YES,TECHNIGRAPHICS,HTTP://WWW.WALMART.COM,1972750792,2,WAL-MART STORES EAST LP,WALMART PHARMACY 10-4477,3,702 SW 8TH ST, ,BENTONVILLE,AR,727160445,US, , ,08/22/2008,02/24/2009,332B00000X, , ,3336C0003X,10153,NC, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
42345,11711501,UNCLASSIFIED,BOONE DRUG AND HEALTHCARE,828-264-3055,345 DEERFIELD ROAD, ,BOONE,NC,28607,5009,WATAUGA,37189, , , , ,2010-06-10T00:00:00.000Z,ALT REF,2010-06-10T00:00:00.000Z,MANUAL,"CRITICAL INFRASTRUCTURE, PDD-63; PUBLIC HEALTH; PHARMACIES",446110,PHARMACIES,102462386,-81.6527965,36.1991318,NAVTEQ,2009Q4,ONENTITY,YES,TECHNIGRAPHICS,HTTP://WWW.BOONEDRUG.COM,1285962944,2,BOONE DRUGS INC, , ,345 DEERFIELD RD, ,BOONE,NC,286075009,US,8282643055,8282643053,11/18/2009,11/18/2009,333600000X,2501,NC, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
42346,11680230,UNCLASSIFIED,HARRIS TEETER - 91,336-286-9433,401 PISGAH CHURCH ROAD, ,GREENSBORO,NC,27455,2521,GUILFORD,37081, , , , ,2010-06-10T00:00:00.000Z,ALT REF,2010-06-10T00:00:00.000Z,MANUAL,"CRITICAL INFRASTRUCTURE, PDD-63; PUBLIC HEALTH; PHARMACIES",446110,PHARMACIES,17048050,-79.7956399,36.1304259,NAVTEQ,2009Q4,ONENTITY,YES,TECHNIGRAPHICS,HTTP://WWW.HARRISTEETER.COM,1043312077,2,"HARRIS TEETER, INC.",HARRIS TEETER PHARMACY,5,701 CRESTDALE RD, ,MATTHEWS,NC,281051700,US,7048443100,7048446556,09/01/2006,01/22/2008,3336C0003X,08386,NC, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
42347,11641754,UNCLASSIFIED,WAL-MART SUPERCENTER - 1290,336-667-4337,1801 UNITED STATES HIGHWAY 421, ,WILKESBORO,NC,28697, ,WILKES,37193, , , , ,2010-06-09T00:00:00.000Z,ALT REF,2010-06-09T00:00:00.000Z,MANUAL,"CRITICAL INFRASTRUCTURE, PDD-63; PUBLIC HEALTH; PHARMACIES",446110,PHARMACIES,102419092,-81.1942562,36.1478685,NAVTEQ,2009Q4,ONENTITY,YES,TECHNIGRAPHICS,HTTP://WWW.WALMART.COM,1477570620,2,WAL-MART STORES EAST LP,WAL-MART PHARMACY,3,702 SW 8TH ST, ,BENTONVILLE,AR,727166209,US, , ,07/16/2006,04/30/2009,332B00000X, , ,333600000X, , ,3336C0003X,8024,NC, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
42349,11705892,UNCLASSIFIED,WALGREENS - 10619,704-982-2301,840 NC HIGHWAY 24 27 BYPASS EAST, ,ALBEMARLE,NC,28001, ,STANLY,37167, , , , ,2010-06-08T00:00:00.000Z,ALT REF,2010-06-08T00:00:00.000Z,MANUAL,"CRITICAL INFRASTRUCTURE, PDD-63; PUBLIC HEALTH; PHARMACIES",446110,PHARMACIES,102933045,-80.1656727,35.3484198,NAVTEQ,2009Q4,ONENTITY,YES,TECHNIGRAPHICS,HTTP://WWW.WALGREENS.COM,1508040536,2,WALGREEN CO,WALGREENS,3,1901 E VOORHEES ST,MS 790,DANVILLE,IL,618344509,US,2175548964,2175548546,12/27/2007,11/25/2009,332B00000X, , ,3336C0003X, , ,333600000X,10018,NC, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
42350,11661082,UNCLASSIFIED,WAL-MART SUPERCENTER - 1842,336-292-2923,4424 WEST WENDOVER AVENUE, ,GREENSBORO,NC,27407,2600,GUILFORD,37081, , , , ,2010-05-26T00:00:00.000Z,ALT REF,2010-05-26T00:00:00.000Z,MANUAL,"CRITICAL INFRASTRUCTURE, PDD-63; PUBLIC HEALTH; PHARMACIES",446110,PHARMACIES,17065404,-79.9009354,36.0578643,NAVTEQ,2009Q4,ONENTITY,YES,TECHNIGRAPHICS,HTTP://WWW.WALMART.COM,1760409924,2,WAL-MART STORES EAST LP,WAL-MART PHARMACY,3,702 SW 8TH ST, ,BENTONVILLE,AR,727166209,US, , ,07/16/2006,01/26/2009,333600000X, , ,332B00000X, , ,3336C0003X,7967,NC, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
