FACILITY,FADDR1,FCITY,FSTATE,FZIP,FPHONE,FCOUNTY,STYPE,SADDR,SCITY,SSTATE,SZIP,LICENSEE,LICNO,PENDING,FID,CLOSED,TERMINATED,HCACAT,HOSCAT,NPCAT,NSGSVCS,CLINICAL,IVSV,AIDESV,SWSV,PTSV,OTSV,SPSV,SPLYSV,NSGPOOL,POOLAIDE,HHASV,HHANO,HOSNO,HPBEDS,HRBEDS,EXPIRES,JCAHO,RJCAHO,ACHC,CARF,NARRAL,ACCHC,NHCC,PPH,CHAP,OTHERA
"Shipman Family Home Care, Inc.","1614 East Market Street","Greensboro","NC","27401-","(336)722-7466","Forsyth","HC","163 Stratford Court, Suite 115","Winston-Salem","NC","27103-","Shipman Family  Home Care, Inc.","HC2255",F,"021262",F,F,T,F,F,F,F,F,T,F,F,F,F,F,F,F,F,"","",0,0,12/31/2018,F,F,F,F,F,F,F,F,F,F
"Shore Home Care Agency, Inc.","1386 Westgate Center Drive","Winston-Salem","NC","27103-","(336)765-3635","Forsyth","HC","1386 Westgate Center Drive; Suite A/B","Winston-Salem","NC","27103-","Vanessa P. Little","HC4127",F,"100718",F,F,T,F,T,F,F,F,T,F,F,F,F,F,F,F,F,"","",0,0,12/31/2018,F,F,F,F,F,F,F,F,F,F
"Summit Care At Home","853 Old Winston Road, Suite 118","Kernersville","NC","27284-","(336)993-7555","Forsyth","HC","853 Old Winston Road, Suite 118","Kernersville","NC","27284-","Summit Care At Home","HC3668",F,"070008",F,F,T,F,F,T,F,F,T,F,F,F,F,F,F,F,F,"","",0,0,12/31/2018,F,F,F,F,F,F,F,F,F,F
"Tender Care, Inc.","3560 Vest Mill Road","Winston Salem","NC","27103-","(336)765-2273","Forsyth","HC","3560 Vest Mill Road","Winston Salem","NC","27103-","Tender Care, Inc.","HC1254",F,"945227",F,F,T,F,T,T,F,F,T,F,F,F,F,F,T,T,F,"","",0,0,12/31/2018,F,F,F,F,F,F,F,F,F,F
"Thrive Skilled Pediatric Care","10000  N Central Expressway","Dallas","TX","75231-4177","(855)824-6748","Forsyth","HC","3330 Healy Drive; Suite 110","Winston Salem","NC","27103-","THS Services, LLC","HC3909",F,"090782",F,F,T,F,T,T,F,F,T,F,F,F,F,F,F,F,F,"","",0,0,12/31/2018,F,F,T,F,F,F,F,F,F,F
"Thrive Skilled Pediatric Care","10000 N Central Expressway","Dallas","TX","75231-4177","(336)933-2007","Forsyth","HC","3330 Healy Drive ,Suite 110A","Winston Salem","NC","27103-","Health & Home Services, Inc.","HC4414",F,"110447",F,F,T,F,T,T,F,F,T,F,F,F,F,F,F,F,F,"","",0,0,12/31/2018,F,F,T,F,F,F,F,F,F,F
"Total Companion Care, In-Home-Aide","8 West 3rd Street, Suite 225","Winston-Salem","NC","27101-","(336)926-0962","Forsyth","HC","8 West 3rd Street, Suite 225","Winston-Salem","NC","27101-","Total Companion Care Home Health Agency","HC4059",F,"100311",F,F,T,F,F,F,F,F,T,F,F,F,F,F,F,F,F,"","",0,0,12/31/2018,F,F,F,F,F,F,F,F,F,F
"Touched by Angels Home Healthcare, LLC","1515 Mockingbird Lane","Charlotte","NC","28209-","(336)768-1003","Forsyth","HC","4400 Silas Creek Pkwy,  Suite 304","Winston Salem","NC","27104-3823","Touched by Angels Home Healthcare, LLC","HC2103",F,"011229",F,F,T,F,F,F,F,F,T,F,F,F,F,F,F,F,F,"","",0,0,12/31/2018,F,F,F,F,F,F,F,F,F,F
"Visiting Angels","532-l N. Regional Road","Greensboro","NC","27409-","(336)893-8156","Forsyth","HC","1540 Westbrook Plaza Drive, Suite 104","Winston-Salem","NC","27103-","Gane Family Homecare, Inc.","HC4721",F,"150058",F,F,T,F,F,F,F,F,T,F,F,F,F,F,F,F,F,"","",0,0,12/31/2018,F,F,F,F,F,F,F,F,F,F
"Wake Forest Baptist Health Care at Home, LLC","ATTN:  Licensing & Certification","Overland Park","KS","66213-2696","(336)760-1838","Forsyth","HC","2000 Frontis Plaza Blvd., Suite 303","Winston Salem","NC","27103","Wake Forest Baptist Health Care at Home, LLC","HC0409",F,"953897",F,F,T,F,F,T,T,T,T,T,T,T,T,F,F,F,T,"347106","",0,0,12/31/2018,F,F,T,F,F,F,F,F,T,F
"We Care Specialist","3365 Hyde Place Circle","Winston Salem","NC","27103-","(336)473-0396","Forsyth","HC","1001 South Marshall Street,; Suite 237","Winston Salem","NC","27101-","Cheryl Robinson","HC3571",F,"060003",F,F,T,F,F,F,F,F,T,F,F,F,F,F,F,F,F,"","",0,0,12/31/2018,F,F,F,F,F,F,F,F,F,F
"Amedisys Home Health","3320 US 1 Highway","Franklinton","NC","27525-8438","(919)494-2462","Franklin","HC","3320 US 1 Highway; Suite C","Franklinton","NC","27525-8438","Tender Loving Care Health Care Services Southeast, LLC","HC0078",F,"953992",F,F,T,F,T,T,F,T,T,T,T,T,T,F,T,T,T,"347110","341560",0,0,12/31/2018,F,F,T,F,F,F,F,F,F,F
"Continuum Home Care of Louisburg","1704 NC Hwy. 39 N","Louisburg","NC","27549-","(919)496-7222","Franklin","HC","1704 NC Hwy. 39 N","Louisburg","NC","27549-","Continuum II Home Health & Hospice, Inc.","HC1212",F,"955210",F,F,T,F,F,T,F,F,T,F,F,F,F,F,F,F,F,"","",0,0,12/31/2018,F,F,F,F,F,F,F,F,F,F
"Franklin County Home Health Agency","107 Industrial Drive","Louisburg","NC","27549","(919)496-2143","Franklin","HC","107 Industrial Drive","Louisburg","NC","27549","Franklin County Health Department","HC0500",F,"943761",F,F,T,F,F,T,F,F,T,T,T,T,T,F,F,F,T,"347068","",0,0,12/31/2018,F,F,F,F,F,F,F,F,F,F
"Genesis Health Care","P. O. Box 371","Louisburg","NC","27549-","(919)496-1889","Franklin","HC","1937 Hwy 39 North","Louisburg","NC","27549-","Genesis Health Care, Inc.","HC1228",F,"945131",F,F,T,F,F,F,F,F,T,F,F,F,F,F,F,F,F,"","",0,0,12/31/2018,F,F,F,F,F,F,F,F,F,F
"Kindred at Home","Attn: Licensing & Certification Dep","Overland Park","KS","66213-2696","(919)554-2279","Franklin","HC","74 Wheaton Ave.","Youngsville","NC","27596-8691","Total Care Home Health of Louisburg, LLC","HC0215",F,"923800",F,F,T,F,F,T,F,T,T,T,T,T,T,F,F,F,T,"347217","",0,0,12/31/2018,F,F,F,F,F,F,F,F,T,F
"Maxim Healthcare Services, Inc.","7227 Lee DeForest Drive","Columbia","MD","21046-","(919)496-3612","Franklin","HC","216-D, North Bickett Blvd.","Louisburg","NC","27549-","Maxim Healthcare Services, Inc.","HC0023",F,"933689",F,F,T,F,F,T,F,T,T,F,F,F,F,F,T,T,F,"","",0,0,12/31/2018,F,F,T,F,F,F,F,F,F,F
"United Home Care, Inc.","P.O. Box 446","Ahoskie","NC","27910-","(919)340-0003","Franklin","HC","310 S. Bickett Blvd.","Louisburg","NC","27549-","United Home Care, Inc.","HC2955",F,"050109",F,F,T,F,F,F,F,F,T,F,F,F,F,F,F,F,F,"","",0,0,12/31/2018,F,F,F,F,F,F,F,F,F,F
"Adult and Pediatric Specialists","PO Box 9004","Clearwater","FL","33758-","(704)824-3009","Gaston","HC","2311 Aberdeen Blvd., Suite A & B1","Gastonia","NC","28054-","Lincare, Inc.","HC1934",F,"001588",F,F,T,F,F,F,T,F,F,F,F,F,F,F,F,F,F,"","",0,0,12/31/2018,F,F,F,F,F,F,F,F,T,F
"Advanced Home Care","P.O. Box 18049","Greensboro","NC","27419-8049","(704)864-1032","Gaston","HC","2391 Court Drive, Suite 105","Gastonia","NC","28054-","Advanced Home Care, Inc.","HC0906",F,"953763",F,F,T,F,F,T,F,T,T,T,T,T,T,F,F,F,T,"347121","",0,0,12/31/2018,F,F,T,F,F,F,F,F,F,F
"Amedisys Home Health Care","1050 Xray Drive","Gastonia","NC","28054-7488","(704)867-1141","Gaston","HC","1050 Xray Drive","Gastonia","NC","28054-7488","Emerald Care, LLC","HC0353",F,"923830",F,F,T,F,F,T,T,T,T,T,T,T,T,F,F,F,T,"347099","",0,0,12/31/2018,F,F,T,F,F,F,F,F,F,F
"American Health Services","3600 Vineland Road, Suite 114","Orlando","FL","32811-","(704)824-5144","Gaston","HC","914 Moose Street, Suite A","Gastonia","NC","28056-","The Kilroy Company","HC3535",F,"061218",F,F,T,F,F,F,T,F,F,F,F,F,F,F,F,F,F,"","",0,0,12/31/2018,T,F,F,F,F,F,F,F,F,F
"Apex Health Care Services, Inc","P.O. Box 550335","Gastonia","NC","28055-0335","(704)396-6602","Gaston","HC","703 S. Marietta Street","Gastonia","NC","28054-","Apex Health Care Services, LLC","HC4007",F,"100072",F,F,T,F,F,T,F,T,T,F,F,F,F,F,F,F,F,"","",0,0,12/31/2018,F,F,T,F,F,F,F,F,F,F
"B & B Homecare & Associates, LLC","2020 Remount Road","Gastonia","NC","28054-","(704)874-1823","Gaston","HC","2020 Remount Road; Suite - F106","Gastonia","NC","28054-","B & B Homecare & Associates, LLC","HC4715",F,"150038",F,F,T,F,F,F,F,F,T,F,F,F,F,F,F,F,F,"","",0,0,12/31/2018,F,F,F,F,F,F,F,F,F,F
"BAYADA Home Health Care, Inc.","1760 Country Club Road","Gastonia","NC","28054-","(704)864-1131","Gaston","HC","1760 Country Club Road; Lower Level","Gastonia","NC","28054-","BAYADA  Home Health Care, Inc.","HC0356",F,"953835",F,F,T,F,F,T,F,F,T,T,T,T,T,F,F,F,T,"347326","",0,0,12/31/2018,F,F,F,F,F,F,F,F,T,F
"BAYADA Home Health Care, Inc.","1560 Union Road","Gastonia","NC","28054-","(704)884-7000","Gaston","HC","1560 Union Road","Gastonia","NC","28054-","BAYADA Home Health Care, Inc.","HC2175",F,"020629",F,F,T,F,T,T,F,T,T,T,T,T,F,F,F,F,F,"","",0,0,12/31/2018,F,F,F,F,F,F,F,F,T,F
"Best Practice Homecare, LLC","2020 Remoount Road","Gastonia","NC","28054-","(704)609-6166","Gaston","HC","2020 Remount Road; # W-101","Gastonia","NC","28054-","Shenita Colson","HC4638",F,"130528",F,F,T,F,F,T,F,T,F,F,F,F,F,F,F,F,F,"","",0,0,12/31/2018,F,F,F,F,F,F,F,F,F,F
"BrightStar Care Gastonia","811-B S Oakland Street","Gastonia","NC","28054-","(704)691-0280","Gaston","HC","811-B S Oakland Street","Gastonia","NC","28054-","Black Wolf Health North Charlotte, LLC","HC4418",F,"110268",F,F,T,F,T,T,F,T,T,F,F,F,F,F,F,F,F,"","",0,0,12/31/2018,T,F,F,F,F,F,F,F,F,F
"Carolina Home Care Solutions, Inc","P.O. Box 550280","Gastonia","NC","28055-0280","(704)691-7354","Gaston","HC","314 North Highland Street","Gastonia","NC","28052-","Carolina Home Care Solutions, Inc","HC3965",F,"090992",F,F,T,F,F,F,F,F,T,F,F,F,F,F,F,F,F,"","",0,0,12/31/2018,F,F,F,F,F,F,F,F,F,F
"Compleat Rehab Services","2675 Court Drive","Gastonia","NC","28054","(704)824-7800","Gaston","HC","2675 Court Drive","Gastonia","NC","28054","CompRehab, Inc.","HC0167",F,"943697",F,F,T,F,F,F,F,F,F,T,T,T,T,F,F,F,F,"","",0,0,12/31/2018,F,F,F,F,F,F,F,F,F,F
"Family First Home Care Agency","543 Cox Road, Suite E-5","Gastonia","NC","28054-","(704)214-5394","Gaston","HC","543 Cox Road, Suite E-5","Gastonia","NC","28054-","Marion Temeeta James","HC4561",F,"120408",F,F,T,F,F,F,F,F,T,F,F,F,F,F,F,F,F,"","",0,0,12/31/2018,F,F,F,F,F,F,F,F,F,F
"Forever Young Care Services, Inc.","1006 Union Road","Gastonia","NC","28054-","(704)869-9790","Gaston","HC","1006 Union Road; Suite  A","Gastonia","NC","28054-","Forever Young Care Services, Inc.","HC4066",F,"100346",F,F,T,F,F,F,F,F,T,F,F,F,F,F,F,F,F,"","",0,0,12/31/2018,F,F,F,F,F,F,F,F,F,F
"Home Instead Senior Care","3518 Old Redbud Drive","Gastonia","NC","28056-","(704)864-5500","Gaston","HC","3518 Old Redbud Drive","Gastonia","NC","28056-","In His Care, Inc.","HC3787",F,"090203",F,F,T,F,F,F,F,F,T,F,F,F,F,F,F,F,F,"","",0,0,12/31/2018,F,F,F,F,F,F,F,F,F,F
"Hospice of Gaston County, Inc.","P. O. Box 3984","Gastonia","NC","28054","(704)861-8405","Gaston","HC","258  E. Garrison Blvd., Watertower Place","Gastonia","NC","28054-","CaroMont Health, Inc.","HC0812",F,"943869",F,F,T,T,F,T,F,T,T,T,T,T,T,F,F,F,F,"","341536",0,0,12/31/2018,F,F,T,F,F,F,F,F,F,F
"Interim HealthCare of the Triad, Inc.","2526 Ward Blvd.","Wilson","NC","27893-","(704)861-1156","Gaston","HC","2551 Pembroke Road","Gastonia","NC","28054-","Interim HealthCare of the Triad, Inc.","HC1903",F,"001261",F,F,T,F,T,T,F,T,T,T,T,T,T,F,F,F,F,"347234","",0,0,12/31/2018,F,F,F,F,F,F,F,F,T,F
"Kindred at Home","12900 Foster Street, Suite 400","Overland Park","KS","66213-2696","(704)824-7099","Gaston","HC","934 Cox Road","Gastonia","NC","28054-3456","Total Care Home Health of  North Carolina, LLC","HC0268",F,"954176",F,F,T,F,F,T,F,T,T,T,T,T,T,F,F,F,T,"34Q7317001","",0,0,12/31/2018,F,F,F,F,F,F,F,F,T,F
"My Shepherd's Den Home Care Services","7105 Wilkinson Boulevard","Belmont","NC","28012-","(704)822-0748","Gaston","HC","7105 Wilkinson Boulevard","Belmont","NC","28012-","My Shepherd's Den  - Linda Simmons Jones","HC3524",F,"061176",F,F,T,F,F,F,F,F,T,F,F,F,F,F,F,F,F,"","",0,0,12/31/2018,F,F,F,F,F,F,F,F,F,F
"Pro Care Home Care, LLC","602 Bessemer City Hwy","Gastonia","NC","28052-","(704)706-7075","Gaston","HC","602 Bessemer City Hwy","Gastonia","NC","28052-","Total Miracle Kids,  Inc.","HC4236",F,"101143",F,F,T,F,F,F,F,F,T,F,F,F,F,F,F,F,F,"","",0,0,12/31/2018,F,F,F,F,F,F,F,F,F,F
"ResCare Home Care","834 Tyvola Road","Charlotte","NC","28217-","(704)864-4800","Gaston","HC","825 Majestic Court; Suite A","Gastonia","NC","28054-","CNC Access Inc.","HC1147",F,"924762",F,F,T,F,T,T,F,T,T,F,F,F,F,F,T,T,F,"","",0,0,12/31/2018,F,F,F,F,F,F,F,F,F,F
"Right at Home","100 N. Main Street","Belmont","NC","28012-","(704)412-3366","Gaston","HC","100 N. Main Street; Suite 107","Belmont","NC","28012-","Borne to Care, Inc.","HC4629",F,"130440",F,F,T,F,F,F,F,F,T,F,F,F,F,F,F,F,F,"","",0,0,12/31/2018,F,F,F,F,F,F,F,F,F,F
"Senior TLC","1875 Remount Road","Gastonia","NC","28054-","(704)874-0600","Gaston","HC","1875 Remount Road","Gastonia","NC","28054-","Senior Total Life Care","HC4499",F,"110995",F,F,T,F,F,F,F,F,T,F,F,F,F,F,F,F,F,"","",0,0,12/31/2018,F,F,F,F,F,F,F,F,F,F
"Stress Free Home Care Corp.","717 South Main Street","Stanley","NC","28164-","(704)931-4997","Gaston","HC","717 South Main Street","Stanley","NC","28164-","Candi Lethcoe","HC4202",F,"101053",F,F,T,F,F,F,F,F,T,F,F,F,F,F,F,F,F,"","",0,0,12/31/2018,F,F,F,F,F,F,F,F,F,F
"Thrive Skilled Pediatric Care","10000 N Central Expressway","Dallas","TX","75231-4177","(704)874-0005","Gaston","HC","760 N. New Hope Road, Suite C","Gastonia","NC","28054-","Health  & Home Services, Inc.","HC2160",F,"020429",F,F,T,F,T,T,F,F,T,F,F,F,F,F,F,F,F,"","",0,0,12/31/2018,F,F,T,F,F,F,F,F,F,F
"Thrive Skilled Pediatric Care","10000 N Central Expressway","Dallas","TX","75231-4177","(704)971-6220","Gaston","HC","760 N. New Hope Road, Suite D","Gastonia","NC","28054-","Health & Home Services, Inc.","HC4419",F,"110448",F,F,T,F,T,T,F,F,T,F,F,F,F,F,F,F,F,"","",0,0,12/31/2018,F,F,T,F,F,F,F,F,F,F
"TouchPoint Healthcare - Monroe","3488 Gribble Road","Matthews","NC","28104-","(704)839-0431","Gaston","HC","3488 Gribble Road; Suite B","Matthews","NC","28104-","TouchPoint Healthcare Services, Inc","HC3072",F,"050615",F,F,T,F,F,F,F,F,T,F,F,F,F,F,F,F,F,"","",0,0,12/31/2018,F,F,F,F,F,F,F,F,F,F
"Touched by Angels Home Healthcare, LLC","1515 Mockingbird Lane","Charlotte","NC","28209-","(704)827-0772","Gaston","HC","16 Oak Grove Street","Mount Holly","NC","28120-","Touched by Angels Home Healthcare, LLC","HC2202",F,"020850",F,F,T,F,F,F,F,F,T,F,F,F,F,F,F,F,F,"","",0,0,12/31/2018,F,F,F,F,F,F,F,F,F,F
"Turning Point Services, Inc.","709 Dogwood Drive","Gastonia","NC","28806-","(704)853-1931","Gaston","HC","709 Dogwood Drive","Gastonia","NC","28806-","Turning Point Services, Inc.","HC1301",F,"955638",F,F,T,F,F,F,F,F,T,F,F,F,F,F,T,T,F,"","",0,0,12/31/2018,F,F,F,F,F,F,F,F,F,F
"Visiting Angels","102 Hidden Pastures Drive","Cramerton","NC","28032-","(704)825-3350","Gaston","HC","102 Hidden Pastures Drive; Suite 202","Cramerton","NC","28032-","Psalm 91:11, LLC","HC4354",F,"110302",F,F,T,F,F,F,F,F,T,F,F,F,F,F,F,F,F,"","",0,0,12/31/2018,F,F,F,F,F,F,F,F,F,F
"Hertford - Gates Home Health Agency","P O Box 694","Ahoskie","NC","27910-","(252)357-1925","Gates","HC","212 Main Street","Gatesville","NC","27938-","Hertford County Public Health Authority","HC1062",F,"943819",F,F,T,F,T,T,F,T,T,F,T,F,T,F,F,F,T,"347049","",0,0,12/31/2018,F,F,F,F,F,F,F,F,F,F
"Sawyer's Home Care","PO Box 1788","Robbinsville","NC","28771-","(828)479-4948","Graham","HC","533 Sweetwater Road","Robbinsville","NC","28771-","Sawyer's Creek and Company, Inc.","HC2157",F,"020398",F,F,T,F,F,F,F,F,T,F,F,F,F,F,F,F,F,"","",0,0,12/31/2018,F,F,F,F,F,F,F,F,F,F
"1st Choice Home Care","P.O. Box 1845","Oxford","NC","27565-","(919)939-3101","Granville","HC","3027 Watkins Wilkinson Road","Oxford","NC","27565-","1st Choice Home Care","HC3449",F,"060803",F,F,T,F,F,F,F,F,T,F,F,F,F,F,F,F,F,"","",0,0,12/31/2018,F,F,F,F,F,F,F,F,F,F
"Angelic Hands Home Health Agency, Inc.","P.O. Box 1707","Oxford","NC","27565-","(919)693-6857","Granville","HC","130 Hillsboro Street","Oxford","NC","27565-","Angelic Hands Home Health Agency, Inc.","HC3558",F,"061270",F,F,T,F,F,F,F,F,T,F,F,F,F,F,F,F,F,"","",0,0,12/31/2018,F,F,F,F,F,F,F,F,F,F
"Extending Hands Health Care Service","P.O. Box 1312","Oxford","NC","27565-","(919)692-0555","Granville","HC","2179 Elliott Street","Oxford","NC","27565-","Vernita Harrington Parker","HC3541",F,"061245",F,F,T,F,F,F,F,F,T,F,F,F,F,F,F,F,F,"","",0,0,12/31/2018,F,F,F,F,F,F,F,F,F,F
"Four H Home Care Agency","1213 Goshen Street","Oxford","NC","27565-","(919)603-0661","Granville","HC","1213 Goshen Street; Suite B","Oxford","NC","27565-","Joan Hodges Hicks, RN","HC4295",F,"110055",F,F,T,F,F,F,F,F,T,F,F,F,F,F,F,F,F,"","",0,0,12/31/2018,F,F,F,F,F,F,F,F,F,F
"Granville County DSS","P O Box 966","Oxford","NC","27565","(919)693-1511","Granville","HC","410 West Spring Street","Oxford","NC","27565-","Granville County Department of Social Services","HC0662",F,"943774",F,F,T,F,F,F,F,F,T,F,F,F,F,F,F,F,F,"","",0,0,12/31/2018,F,F,F,F,F,F,F,F,F,F
"Granville County Senior Services","P.O. Box 1287","Oxford","NC","27565-","(919)693-1930","Granville","HC","107 Lanier Street","Oxford","NC","27565-","Granville County Senior Services","HC1539",F,"970727",F,F,T,F,F,F,F,F,T,F,F,F,F,F,F,F,F,"","",0,0,12/31/2018,F,F,F,F,F,F,F,F,F,F
"Helping Hands Alternative of Oxford, Inc.","P.O. Box 1786","Oxford","NC","27565-","(919)693-9959","Granville","HC","121 Williamsboro Street","Oxford","NC","27565-","Joetta E. Harb","HC2907",F,"041591",F,F,T,F,F,F,F,F,T,F,F,F,F,F,F,F,F,"","",0,0,12/31/2018,F,F,F,F,F,F,F,F,F,F
"JATZ Home Care Services","125 Old Warehouse Square","Oxford","NC","27565-","(919)339-4660","Granville","HC","125 Old Warehouse Square","Oxford","NC","27565-","April Seibles","HC3976",F,"091033",F,F,T,F,F,F,F,F,T,F,F,F,F,F,F,F,F,"","",0,0,12/31/2018,F,F,F,F,F,F,F,F,F,F
"LifeTime Homecare Services, LLC","226 West College Street","Oxford","NC","27565-","(919)725-3199","Granville","HC","226 West College Street","Oxford","NC","27565-","Marlin Hooper","HC4302",F,"110075",F,F,T,F,F,F,F,F,T,F,F,F,F,F,F,F,F,"","",0,0,12/31/2018,F,F,F,F,F,F,F,F,F,F
"Welcome Home Care Agency, Inc.","P.O. Box 1146","Creedmoor","NC","27522-","(919)528-9476","Granville","HC","416 N. Main Street","Creedmoor","NC","27522-","Welcome Home Care Agency, Inc.","HC3662",F,"061531",F,F,T,F,F,F,F,F,T,F,F,F,F,F,F,F,F,"","",0,0,12/31/2018,F,F,F,F,F,F,F,F,F,F
"1st Choice Care, LLC","117 Heritage Crossing","Snow Hill","NC","28580-","(252)268-3664","Greene","HC","117 Heritage Crossing; Suite B","Snow Hill","NC","28580-","1st Choice Care, LLC","HC4738",F,"150131",F,F,T,F,F,F,F,F,T,F,F,F,F,F,F,F,F,"","",0,0,12/31/2018,F,F,F,F,F,F,F,F,F,F
"Amblecare, Inc.","1 Industrial Drive","Snow Hill","NC","28580-","(252)747-5252","Greene","HC","1 Industrial Drive","Snow Hill","NC","28580-","Amblecare, Inc.","HC1407",F,"960508",F,F,T,F,T,F,F,F,T,F,F,F,F,F,F,F,F,"","",0,0,12/31/2018,F,F,F,T,F,F,F,F,F,F
"AssistedCare of the Carolinas","1003 Olde Waterford Way 2-C","Leland","NC","28451-","(252)747-8141","Greene","HC","369 Highway 13 S ; Unit C","Snow Hill","NC","28580-","RH Homecare Services, LLC","HC0168",F,"943777",F,F,T,F,F,T,F,T,T,T,T,T,T,F,F,F,T,"347252","",0,0,12/31/2018,T,F,F,F,F,F,F,F,F,T
"Continuum Home Care of Snow Hill","1304 S. E. 2nd Street","Snow Hill","NC","28580-","(252)747-8126","Greene","HC","1304 S. E. 2nd Street","Snow Hill","NC","28580-","Hillco Home Care, Inc.","HC1220",F,"955285",F,F,T,F,F,T,F,F,T,F,T,T,T,F,F,F,F,"","",0,0,12/31/2018,F,F,F,F,F,F,F,F,F,F
"TJ's Home Care Services, Inc.","3436 Beaman Old Creek Road","Snow Hill","NC","28580-","(252)747-5533","Greene","HC","3436 Beaman Old Creek Road","Snow Hill","NC","28580-","TJ's Home Care Services, Inc.","HC4281",F,"110016",F,F,T,F,F,F,F,F,T,F,F,F,F,F,F,F,F,"","",0,0,12/31/2018,F,F,F,F,F,F,F,F,F,F
"1st Choice Home Care Inc","1515 W. Cornwallis Drive, Suite100","Greensboro","NC","27408-","(336)285-9107","Guilford","HC","1515 W. Cornwallis Drive, Suite 100","Greensboro","NC","27408-","1st Choice Home Care, Inc.","HC4826",F,"110021",F,F,T,F,F,F,F,F,T,F,F,F,F,F,F,F,F,"","",0,0,12/31/2018,F,F,F,F,F,F,F,F,F,F
"1st Choice Medical Staffing & Home Care, LLC","2311  W. Cone Blvd.","Greensboro","NC","27410-","(336)500-8734","Guilford","HC","2311  W. Cone Blvd.; Suite 227","Greensboro","NC","27410-","Venetta Ikya Johnson","HC4811",F,"160034",F,F,T,F,F,T,F,T,F,F,F,F,F,F,F,F,F,"","",0,0,12/31/2018,F,F,F,F,F,F,F,F,F,F
"ARO Community Services, Inc.","1515 West Cornwallis Drive","Greensboro","NC","27408-","(336)378-9862","Guilford","HC","1515 West Cornwallis Drive; Suite G107","Greensboro","NC","27408-","ARO Community Services, Inc.","HC0144",F,"943578",F,F,T,F,T,T,F,F,T,F,F,F,F,F,T,T,F,"","",0,0,12/31/2018,F,F,F,F,F,F,F,F,F,F
"Accredo Health Group, Inc.","422 Gallimore Dairy Road","Greensboro","NC","27409-3725","(336)393-0555","Guilford","HC","422 Gallimore Dairy Road; Suite A","Greensboro","NC","27409-3725","Accredo Health Group, Inc.","HC0776",F,"954091",F,F,T,F,F,F,F,T,F,F,F,F,F,F,F,F,F,"","",0,0,12/31/2018,T,F,F,F,F,F,F,F,F,F
"Adult and Pediatric Specialists","P.O. Box 9004","Clearwater","FL","33758-9004","(336)665-3736","Guilford","HC","6905 Downwind Road, Suites A & B","Greensboro","NC","27409-1871","Lincare Inc.","HC3696",F,"070287",F,F,T,F,F,F,T,F,F,F,F,F,F,F,F,F,F,"","",0,0,12/31/2018,F,F,F,F,F,F,F,F,F,F
"Advanced Home Care, Inc.","P. O. Box 18049","Greensboro","NC","27419-8049","(336)878-8822","Guilford","HC","4001 Piedmont Parkway","High Point","NC","27265-","Advanced Home Care, Inc.","HC0297",F,"943823",F,F,T,F,F,T,T,T,T,T,T,T,T,F,F,F,T,"347125","",0,0,12/31/2018,F,F,T,F,F,F,F,F,F,F
"Advanced Home Care, Inc.","P. O. Box 18049","Greensboro","NC","27419-8049","(336)878-8822","Guilford","HC","4001 Piedmont Parkway","High Point","NC","27265-","Advanced Home Care, Inc.","HC3997",F,"100058",F,F,T,F,F,F,T,T,F,F,F,F,F,F,F,F,F,"","",0,0,12/31/2018,F,F,T,F,F,F,F,F,F,F
"Affordable Family Care Services, Inc.","114 Wind Chime Court","Raleigh","NC","27615-","(336)355-3807","Guilford","HC","6520 Airport Center Drive, Suite 101","Greensboro","NC","27409-","Affordable Family Care Services, Inc.","HC4416",F,"110299",F,F,T,F,F,F,F,F,T,F,F,F,F,F,F,F,F,"","",0,0,12/31/2018,F,F,F,F,F,F,F,F,F,F
"Ally Home Care","4801 Glenwood Avenue","Raleigh","NC","27612-","(336)272-1411","Guilford","HC","1600 E. Wendover; Suite B","Greensboro","NC","27405-","Ally Home Care Greensboro, LLC","HC2395",F,"030735",F,F,T,F,F,T,F,F,T,F,F,F,F,F,F,F,F,"","",0,0,12/31/2018,F,F,F,F,F,F,F,F,F,F
"Alston Personal Care Services, LLC","2412 Battleground Avenue","Greensboro","NC","27408-","(336)375-8050","Guilford","HC","2412 Battleground Avenue; Suite 101-A","Greensboro","NC","27408-","Alston Personal Care Services, LLC","HC3220",F,"051322",F,F,T,F,F,F,F,F,T,F,F,F,F,F,F,F,F,"","",0,0,12/31/2018,F,F,F,F,F,F,F,F,F,F
"Alternative Behavioral Solutions, Inc.","121 South Elm Street","Greensboro","NC","27401-","(336)370-9900","Guilford","HC","121 South Elm Street,  Suite A","Greensboro","NC","27401-","Alternative Home Care Solutions, Inc.","HC1953",F,"010061",F,F,T,F,T,T,F,F,T,F,F,F,F,F,F,F,F,"","",0,0,12/31/2018,F,F,F,F,F,F,F,F,F,F
"Always Best Care Senior Services of  Northern Piedmont","1451 S. Elm-Eugene Street","Greensboro","NC","27406-","(336)285-9480","Guilford","HC","1451 S. Elm-Eugene Street; Box 60","Greensboro","NC","27406-","Margachel Enterprises, LLC","HC4355",F,"110303",F,F,T,F,F,F,F,F,T,F,F,F,F,F,F,F,F,"","",0,0,12/31/2018,F,F,F,F,F,F,F,F,F,F
